"GISJOIN","CBSA","chg_white_2010_2020","chg_black_2010_2020","chg_aiak_2010_2020","chg_asian_2010_2020","chg_nhpi_2010_2020","chg_other_2010_2020","chg_twoplus_2010_2020"
"G40060","Richmond, VA Metro Area",17295.3199999999,5254.19,1075.33,18417.89,110.01,31064.9,61166.63
"G40140","Riverside-San Bernardino-Ontario, CA Metro Area",-709985.89,18631.53,39072.56,94458.98,1833,370487.07,560501.31
"G40220","Roanoke, VA Metro Area",-12572.98,432,205.03,2027.24,16,4096.03,12357.43
"G40340","Rochester, MN Metro Area",2043.35999999999,4359,288,2492,20,1860,8026.98
"G40380","Rochester, NY Metro Area",-64080.9300000001,4634.00999999999,-114,8467.01,26,14270,47839.24
"G40420","Rockford, IL Metro Area",-44485.99,3232.01,967,1202,14,5848.02,22590.01
"G40580","Rocky Mount, NC Metro Area",-10448.19,-3698.79,107.06,168,20,1539,3786.57
"G40660","Rome, GA Metro Area",-4570,447,354,36,-92,680,5412
"G40900","Sacramento--Arden-Arcade--Roseville, CA Metro Area",-131567.68,8959.85999999999,5876,100830.16,5683,69103.47,189369.34
"G40980","Saginaw-Saginaw Township North, MI Metro Area",-15357,-3499,-59,312,20,822,7716
"G41060","St. Cloud, MN Metro Area",-7607.16,9930,228,247,13,2019,5748
"G41100","St. George, UT Metro Area",27863,198,320,884,591,2697,9611
"G41140","St. Joseph, MO-KS Metro Area",-11473.99,-917,33,382,261,473,5380
"G41180","St. Louis, MO-IL Metro Area",-124369.04,-9074,1005,22170,37,20620,120482
"G41420","Salem, OR Metro Area",-9868.96999999997,1101,2184.35,1845.01,1643.01,8923.45,36800.4
"G41500","Salinas, CA Metro Area",-71838,-2842,7317,1422,61,32756,57102
"G41540","Salisbury, MD Metro Area",-7453,2430,232,751,-11,2198,4858
"G41620","Salt Lake City, UT Metro Area",23261.8199999999,7147.95,4205.89,17481.61,6398.93,26524.04,91205.44
"G41660","San Angelo, TX Metro Area",-11785,95,182,680,76,2108,18337
"G41700","San Antonio-New Braunfels, TX Metro Area",-330123,39548,10214,29797,1601,109525,555073
"G41740","San Diego-Carlsbad-San Marcos, CA Metro Area",-348313,-2400,14628,74661,-51,101529,363267
"G41780","Sandusky, OH Metro Area",-4909,164,-37,18,3,294,3049
"G41860","San Francisco-Oakland-Fremont, CA Metro Area",-373039.78,-28770.1,24211,300434.92,1811.89,174271.66,314691.83
