"GISJOIN","CBSA","chg_white_2010_2020","chg_black_2010_2020","chg_aiak_2010_2020","chg_asian_2010_2020","chg_nhpi_2010_2020","chg_other_2010_2020","chg_twoplus_2010_2020"
"G34580","Mount Vernon-Anacortes, WA Metro Area",-907.979999999996,114,362,752,192,2120,9991
"G34620","Muncie, IN Metro Area",-10560,103,-30,256,-2,953,3512
"G34740","Muskegon-Norton Shores, MI Metro Area",-3959,-974,-27,162,12,1030,7392
"G34820","Myrtle Beach-North Myrtle Beach-Conway, SC Metro Area",55563.66,3680.48,330.71,1836.99,15,3895.5,16308.32
"G34900","Napa, CA Metro Area",-21346.06,-204.31,891.49,1559.77,-22.57,5599.99,15169.32
"G34940","Naples-Marco Island, FL Metro Area",-12586.54,2262,927.31,2064,-33,12829,48776
"G34980","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",115627,32112,3474,24353,107,46944,100919
"G35300","New Haven-Milford, CT Metro Area",-100913,9083,1561,7257,136,25679,59555
"G35380","New Orleans-Metairie-Kenner, LA Metro Area",-49524.39,17290.78,887,5515.99,-8,30150,79576.81
"G35620","New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",-1805137.36,-124824.9,58742.03,631111.12,1946,1084680.47,1396852.71
"G35660","Niles-Benton Harbor, MI Metro Area",-9196,-2617,109,738,2,1468,6999
"G35840","North Port-Bradenton-Sarasota, FL Metro Area",41829,2857,973,6892,105,16268,62511
"G35980","Norwich-New London, CT Metro Area",-23668.98,1,-17,-569.129999999999,75,4488,14186.88
"G36100","Ocala, FL Metro Area",279,3583,218,1665,27,8353,30485
"G36140","Ocean City, NJ Metro Area",-5833,-998,48,74,-8,897,3818
"G36220","Odessa, TX Metro Area",-24688,1890,306,1259,237,13839,35198
"G36260","Ogden-Clearfield, UT Metro Area",37148.49,1147.05,1937.11,2691,1942,8299.05,36849
"G36420","Oklahoma City, OK Metro Area",-9055.96999999997,15897.04,5954.21,11444.05,699,32578,115190.86
"G36500","Olympia, WA Metro Area",7951.62,2651,943.1,4231.13,1386.06,4711.16,20665.9
"G36540","Omaha-Council Bluffs, NE-IA Metro Area",10664,6407,2549,15801,229,11316,55288
"G36740","Orlando-Kissimmee-Sanford, FL Metro Area",-147166,66035,2987,39480,390,172997,404242
"G36780","Oshkosh-Neenah, WI Metro Area",-6404,2124,89,1779,-5,942,6211
"G36980","Owensboro, KY Metro Area",19,244,101,1764,0,704,3975
"G37100","Oxnard-Thousand Oaks-Ventura, CA Metro Area",-137129.25,166.92,6504.98,9476.87,80,33182.82,108238.79
"G37340","Palm Bay-Melbourne-Titusville, FL Metro Area",-2747,3893,175,4564,30,10873,46448
"G37380","Palm Coast, FL Metro Area",8951,51,118,466,6,1892,8198
"G37460","Panama City-Lynn Haven-Panama City Beach, FL Metro Area",-7427,-324,-120,785,47,3310,10093
"G37620","Parkersburg-Marietta-Vienna, WV-OH Metro Area",-10096,15,-20,62,-7,440,4464
"G37700","Pascagoula, MS Metro Area",-5180,-11,196,213,37,2358,7743
"G37860","Pensacola-Ferry Pass-Brent, FL Metro Area",20202,3526,-265,3034,182,5911,28324
"G37900","Peoria, IL Metro Area",-28895,1419,-9,2020,29,2439,12589
"G37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",-275268.58,31339.6799999999,2645.99,118235.74,179,118748.53,283821.21
"G38060","Phoenix-Mesa-Glendale, AZ Metro Area",-144024,74703,22495,71697,2830,115684,509560
"G38220","Pine Bluff, AR Metro Area",-9079.45,-5744.64,42,65,93,434,1706.99
"G38300","Pittsburgh, PA Metro Area",-107814.37,2712.37,476.76,27027.98,240,12665.78,79314.85
"G38340","Pittsfield, MA Metro Area",-10522,724,36,408,-6,1654,5513
"G38540","Pocatello, ID Metro Area",-2182.99000000001,121,528,104,84,1263,4323
"G38860","Portland-South Portland-Biddeford, ME Metro Area",8371,6389,-30,1848,33,2489,18542
"G38900","Portland-Vancouver-Hillsboro, OR-WA Metro Area",-8147.55000000005,12404,6423.61,51419,5408.99,41551.62,177777.44
"G38940","Port St. Lucie, FL Metro Area",-10360,13111,658,2235,-20,12921,45005
"G39100","Poughkeepsie-Newburgh-Middletown, NY Metro Area",-70852.54,10368.04,1620,3474.01,26,35443,46842.37
"G39140","Prescott, AZ Metro Area",4024.16,276.14,734.14,1147.86,81,2065.89,16882.27
"G39300","Providence-New Bedford-Fall River, RI-MA Metro Area",-102977.94,9814.73,1650,12040.58,-52,51973.96,103287.5
"G39340","Provo-Orem, UT Metro Area",76999.16,1597,1536,3388.38,2845.07,12285.91,45591.53
"G39380","Pueblo, CO Metro Area",-17423.91,420,812,472,48,941.009999999998,23830.01
"G39460","Punta Gorda, FL Metro Area",13484,179,100,715,13,2109,10269
"G39540","Racine, WI Metro Area",-13293.03,1536,280,195,6,644,12951
"G39580","Raleigh-Cary, NC Metro Area",87106.62,30053.3,2245.22,49590.2,249,34363.19,80399.5
"G39660","Rapid City, SD Metro Area",2530,497,2248,556,36,668,6157
"G39740","Reading, PA Metro Area",-33041,1849,967,1028,42,18169,28393
"G39820","Redding, CA Metro Area",-10827,364,-39,1587,100,2022,11725
"G39900","Reno-Sparks, NV Metro Area",-12567,2465,1786,7010,921,18002,47562
