"GEOID1","GEOID2","FULL1_NAME","FULL2_NAME","variable","estimate","moe","centroid1","centroid2"
"42660","12100","Seattle-Tacoma-Bellevue, WA Metro Area","Atlantic City-Hammonton, NJ Metro Area","MOVEDOUT",0,NA,c(-121.881387433741, 47.5574033466574),c(-74.6337332021301, 39.4688338138396)
"42660","12220","Seattle-Tacoma-Bellevue, WA Metro Area","Auburn-Opelika, AL Metro Area","MOVEDOUT",0,NA,c(-121.881387433741, 47.5574033466574),c(-85.3555627143245, 32.6011364705819)
"42660","12260","Seattle-Tacoma-Bellevue, WA Metro Area","Augusta-Richmond County, GA-SC Metro Area","MOVEDOUT",33,29,c(-121.881387433741, 47.5574033466574),c(-81.9465365274209, 33.4351990544738)
"42660","12420","Seattle-Tacoma-Bellevue, WA Metro Area","Austin-Round Rock-GeorgeTown, TX Metro Area","MOVEDOUT",1673,416,c(-121.881387433741, 47.5574033466574),c(-97.6544465797615, 30.2626092051486)
"42660","12540","Seattle-Tacoma-Bellevue, WA Metro Area","Bakersfield, CA Metro Area","MOVEDOUT",707,548,c(-121.881387433741, 47.5574033466574),c(-118.729900017101, 35.3428487179529)
"42660","12580","Seattle-Tacoma-Bellevue, WA Metro Area","Baltimore-Columbia-Towson, MD Metro Area","MOVEDOUT",673,257,c(-121.881387433741, 47.5574033466574),c(-76.551007699503, 39.3055415697504)
"42660","12620","Seattle-Tacoma-Bellevue, WA Metro Area","Bangor, ME Metro Area","MOVEDOUT",66,62,c(-121.881387433741, 47.5574033466574),c(-68.6494281284415, 45.4005123272593)
"42660","12700","Seattle-Tacoma-Bellevue, WA Metro Area","Barnstable Town, MA Metro Area","MOVEDOUT",14,15,c(-121.881387433741, 47.5574033466574),c(-70.2381365830172, 41.7734491612184)
"42660","12940","Seattle-Tacoma-Bellevue, WA Metro Area","Baton Rouge, LA Metro Area","MOVEDOUT",69,80,c(-121.881387433741, 47.5574033466574),c(-91.1309691903327, 30.5703137889327)
"42660","13140","Seattle-Tacoma-Bellevue, WA Metro Area","Beaumont-Port Arthur, TX Metro Area","MOVEDOUT",28,37,c(-121.881387433741, 47.5574033466574),c(-94.2013601154407, 30.0764714198905)
"42660","13220","Seattle-Tacoma-Bellevue, WA Metro Area","Beckley, WV Metro Area","MOVEDOUT",16,24,c(-121.881387433741, 47.5574033466574),c(-81.2486345590091, 37.7713611267572)
"42660","13380","Seattle-Tacoma-Bellevue, WA Metro Area","Bellingham, WA Metro Area","MOVEDOUT",3993,616,c(-121.881387433741, 47.5574033466574),c(-121.872829974509, 48.8297449981796)
"42660","13460","Seattle-Tacoma-Bellevue, WA Metro Area","Bend, OR Metro Area","MOVEDOUT",539,401,c(-121.881387433741, 47.5574033466574),c(-121.227891775105, 43.9148834523624)
"42660","13740","Seattle-Tacoma-Bellevue, WA Metro Area","Billings, MT Metro Area","MOVEDOUT",160,93,c(-121.881387433741, 47.5574033466574),c(-108.602059278083, 45.6287004043677)
"42660","13820","Seattle-Tacoma-Bellevue, WA Metro Area","Birmingham-Hoover, AL Metro Area","MOVEDOUT",54,76,c(-121.881387433741, 47.5574033466574),c(-86.8138680220955, 33.4638408721977)
"42660","13900","Seattle-Tacoma-Bellevue, WA Metro Area","Bismarck, ND Metro Area","MOVEDOUT",44,51,c(-121.881387433741, 47.5574033466574),c(-100.905133973237, 46.8370145936504)
"42660","13980","Seattle-Tacoma-Bellevue, WA Metro Area","Blacksburg-Christiansburg, VA Metro Area","MOVEDOUT",32,44,c(-121.881387433741, 47.5574033466574),c(-80.5924292270095, 37.1865962857846)
"42660","14010","Seattle-Tacoma-Bellevue, WA Metro Area","Bloomington, IL Metro Area","MOVEDOUT",54,77,c(-121.881387433741, 47.5574033466574),c(-88.8617236141055, 40.4106616458353)
"42660","14020","Seattle-Tacoma-Bellevue, WA Metro Area","Bloomington, IN Metro Area","MOVEDOUT",29,47,c(-121.881387433741, 47.5574033466574),c(-86.7918689438515, 39.1543279987426)
"42660","14260","Seattle-Tacoma-Bellevue, WA Metro Area","Boise City, ID Metro Area","MOVEDOUT",1136,270,c(-121.881387433741, 47.5574033466574),c(-116.143239962983, 43.016164971549)
"42660","14460","Seattle-Tacoma-Bellevue, WA Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area","MOVEDOUT",1030,226,c(-121.881387433741, 47.5574033466574),c(-71.0219901941539, 42.5181538511535)
"42660","14500","Seattle-Tacoma-Bellevue, WA Metro Area","Boulder, CO Metro Area","MOVEDOUT",513,240,c(-121.881387433741, 47.5574033466574),c(-105.358114213131, 40.0926378656974)
"42660","14540","Seattle-Tacoma-Bellevue, WA Metro Area","Bowling Green, KY Metro Area","MOVEDOUT",10,19,c(-121.881387433741, 47.5574033466574),c(-86.357015760847, 37.0712100341569)
"42660","14740","Seattle-Tacoma-Bellevue, WA Metro Area","Bremerton-Silverdale-Port Orchard, WA Metro Area","MOVEDOUT",6264,986,c(-121.881387433741, 47.5574033466574),c(-122.648996254481, 47.6398306498888)
"42660","14860","Seattle-Tacoma-Bellevue, WA Metro Area","Bridgeport-Stamford-Norwalk, CT Metro Area","MOVEDOUT",26,26,c(-121.881387433741, 47.5574033466574),c(-73.3712044616067, 41.2249601785075)
"42660","15180","Seattle-Tacoma-Bellevue, WA Metro Area","Brownsville-Harlingen, TX Metro Area","MOVEDOUT",93,114,c(-121.881387433741, 47.5574033466574),c(-97.4528596143179, 26.151501188623)
"42660","15380","Seattle-Tacoma-Bellevue, WA Metro Area","Buffalo-Cheektowaga, NY Metro Area","MOVEDOUT",146,113,c(-121.881387433741, 47.5574033466574),c(-78.7753843985466, 43.0378677974412)
"42660","15500","Seattle-Tacoma-Bellevue, WA Metro Area","Burlington, NC Metro Area","MOVEDOUT",0,NA,c(-121.881387433741, 47.5574033466574),c(-79.399457049248, 36.0440521299717)
"42660","15540","Seattle-Tacoma-Bellevue, WA Metro Area","Burlington-South Burlington, VT Metro Area","MOVEDOUT",13,16,c(-121.881387433741, 47.5574033466574),c(-73.0307789173467, 44.6871978411335)
