"CBSAA","NAME_E.y","housing_chg"
36980,"Owensboro, KY Metro Area",26600
37060,"Oxford, MS Micro Area",58700
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",151100
37120,"Ozark, AL Micro Area",12100
37140,"Paducah, KY-IL Micro Area",16900
37220,"Pahrump, NV Micro Area",66400
37260,"Palatka, FL Micro Area",17900
37300,"Palestine, TX Micro Area",27000
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",77800
37420,"Pampa, TX Micro Area",6000
37460,"Panama City, FL Metro Area",38200
37500,"Paragould, AR Micro Area",17100
37540,"Paris, TN Micro Area",10200
37580,"Paris, TX Micro Area",22600
37620,"Parkersburg-Vienna, WV Metro Area",18900
37660,"Parsons, KS Micro Area",6300
37740,"Payson, AZ Micro Area",40100
37780,"Pecos, TX Micro Area",47100
37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",41200
37900,"Peoria, IL Metro Area",2300
37940,"Peru, IN Micro Area",5600
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",22900
38060,"Phoenix-Mesa-Chandler, AZ Metro Area",90200
38100,"Picayune, MS Micro Area",36700
38180,"Pierre, SD Micro Area",17100
38220,"Pine Bluff, AR Metro Area",5500
38240,"Pinehurst-Southern Pines, NC Micro Area",30300
38260,"Pittsburg, KS Micro Area",11000
38300,"Pittsburgh, PA Metro Area",27300
38340,"Pittsfield, MA Metro Area",16300
38380,"Plainview, TX Micro Area",11100
38420,"Platteville, WI Micro Area",18400
38460,"Plattsburgh, NY Micro Area",15400
38500,"Plymouth, IN Micro Area",21300
38540,"Pocatello, ID Metro Area",20500
38580,"Point Pleasant, WV-OH Micro Area",22600
38620,"Ponca City, OK Micro Area",17900
38660,"Ponce, PR Metro Area",-1300
38700,"Pontiac, IL Micro Area",6800
38740,"Poplar Bluff, MO Micro Area",15600
38780,"Portales, NM Micro Area",-6800
38820,"Port Angeles, WA Micro Area",50800
38860,"Portland-South Portland, ME Metro Area",38700
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",121300
38920,"Port Lavaca, TX Micro Area",14600
38940,"Port St. Lucie, FL Metro Area",82800
39020,"Portsmouth, OH Micro Area",13200
39060,"Pottsville, PA Micro Area",13100
39220,"Price, UT Micro Area",24700
39260,"Prineville, OR Micro Area",98200
39300,"Providence-Warwick, RI-MA Metro Area",39800
39340,"Provo-Orem, UT Metro Area",107400
39380,"Pueblo, CO Metro Area",33900
39420,"Pullman, WA Micro Area",48400
39460,"Punta Gorda, FL Metro Area",63800
39500,"Quincy, IL-MO Micro Area",18500
39540,"Racine, WI Metro Area",23100
39580,"Raleigh-Cary, NC Metro Area",58200
39660,"Rapid City, SD Metro Area",37000
39700,"Raymondville, TX Micro Area",12400
39740,"Reading, PA Metro Area",19400
39780,"Red Bluff, CA Micro Area",60000
39820,"Redding, CA Metro Area",44400
39860,"Red Wing, MN Micro Area",33600
39900,"Reno, NV Metro Area",146900
39940,"Rexburg, ID Micro Area",40000
39980,"Richmond, IN Micro Area",10200
40060,"Richmond, VA Metro Area",34500
40080,"Richmond-Berea, KY Micro Area",20900
40100,"Rio Grande City-Roma, TX Micro Area",11800
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",114200
40180,"Riverton, WY Micro Area",9000
40220,"Roanoke, VA Metro Area",14800
40260,"Roanoke Rapids, NC Micro Area",-400
40300,"Rochelle, IL Micro Area",10400
40340,"Rochester, MN Metro Area",50400
40380,"Rochester, NY Metro Area",14500
40420,"Rockford, IL Metro Area",5600
40460,"Rockingham, NC Micro Area",9600
40540,"Rock Springs, WY Micro Area",14200
40580,"Rocky Mount, NC Metro Area",15100
40620,"Rolla, MO Micro Area",31700
40660,"Rome, GA Metro Area",20500
40700,"Roseburg, OR Micro Area",41100
40740,"Roswell, NM Micro Area",15700
40780,"Russellville, AR Micro Area",10100
40820,"Ruston, LA Micro Area",26300
40860,"Rutland, VT Micro Area",-3700
40900,"Sacramento-Roseville-Folsom, CA Metro Area",125900
40940,"Safford, AZ Micro Area",23300
40980,"Saginaw, MI Metro Area",13300
41060,"St. Cloud, MN Metro Area",28100
41100,"St. George, UT Metro Area",94300
41140,"St. Joseph, MO-KS Metro Area",15000
41180,"St. Louis, MO-IL Metro Area",22100
41220,"St. Marys, GA Micro Area",20300
41400,"Salem, OH Micro Area",4400
41420,"Salem, OR Metro Area",83500
41460,"Salina, KS Micro Area",20800
41500,"Salinas, CA Metro Area",190300
41540,"Salisbury, MD-DE Metro Area",33000
41620,"Salt Lake City, UT Metro Area",98200
41660,"San Angelo, TX Metro Area",40000
41700,"San Antonio-New Braunfels, TX Metro Area",44600
41740,"San Diego-Chula Vista-Carlsbad, CA Metro Area",166000
41760,"Sandpoint, ID Micro Area",64400
41780,"Sandusky, OH Micro Area",15400
41820,"Sanford, NC Micro Area",8700
41860,"San Francisco-Oakland-Berkeley, CA Metro Area",271500
41900,"San Germán, PR Metro Area",-12200
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",353300
41980,"San Juan-Bayamón-Caguas, PR Metro Area",-11500
42020,"San Luis Obispo-Paso Robles, CA Metro Area",159500
42100,"Santa Cruz-Watsonville, CA Metro Area",208200
42140,"Santa Fe, NM Metro Area",19600
42180,"Santa Isabel, PR Micro Area",1200
42200,"Santa Maria-Santa Barbara, CA Metro Area",145000
42220,"Santa Rosa-Petaluma, CA Metro Area",203600
42300,"Sault Ste. Marie, MI Micro Area",15300
42340,"Savannah, GA Metro Area",31200
42380,"Sayre, PA Micro Area",15000
42420,"Scottsbluff, NE Micro Area",23100
42460,"Scottsboro, AL Micro Area",9000
42540,"Scranton--Wilkes-Barre, PA Metro Area",9500
42620,"Searcy, AR Micro Area",16500
42660,"Seattle-Tacoma-Bellevue, WA Metro Area",150500
42680,"Sebastian-Vero Beach, FL Metro Area",62900
42700,"Sebring-Avon Park, FL Metro Area",35300
42740,"Sedalia, MO Micro Area",27500
42780,"Selinsgrove, PA Micro Area",28200
42820,"Selma, AL Micro Area",2600
42860,"Seneca, SC Micro Area",17000
42900,"Seneca Falls, NY Micro Area",10500
42940,"Sevierville, TN Micro Area",30200
42980,"Seymour, IN Micro Area",18800
43020,"Shawano, WI Micro Area",11100
43060,"Shawnee, OK Micro Area",20400
43100,"Sheboygan, WI Metro Area",17200
43140,"Shelby, NC Micro Area",25600
43180,"Shelbyville, TN Micro Area",54100
43220,"Shelton, WA Micro Area",44800
43260,"Sheridan, WY Micro Area",56200
43300,"Sherman-Denison, TX Metro Area",45400
43320,"Show Low, AZ Micro Area",31400
43340,"Shreveport-Bossier City, LA Metro Area",29300
43380,"Sidney, OH Micro Area",17400
43420,"Sierra Vista-Douglas, AZ Metro Area",6200
43460,"Sikeston, MO Micro Area",18900
43500,"Silver City, NM Micro Area",-5700
43580,"Sioux City, IA-NE-SD Metro Area",26400
43620,"Sioux Falls, SD Metro Area",48100
43660,"Snyder, TX Micro Area",-1500
43700,"Somerset, KY Micro Area",7100
43740,"Somerset, PA Micro Area",14500
43760,"Sonora, CA Micro Area",55000
43780,"South Bend-Mishawaka, IN-MI Metro Area",22100
43900,"Spartanburg, SC Metro Area",34800
43940,"Spearfish, SD Micro Area",44100
43980,"Spencer, IA Micro Area",19200
44020,"Spirit Lake, IA Micro Area",32000
44060,"Spokane-Spokane Valley, WA Metro Area",60800
44100,"Springfield, IL Metro Area",13900
44140,"Springfield, MA Metro Area",22100
44180,"Springfield, MO Metro Area",26900
44220,"Springfield, OH Metro Area",16900
44260,"Starkville, MS Micro Area",8300
44300,"State College, PA Metro Area",45500
44340,"Statesboro, GA Micro Area",17400
44420,"Staunton, VA Metro Area",19900
44460,"Steamboat Springs, CO Micro Area",139500
44500,"Stephenville, TX Micro Area",44600
44540,"Sterling, CO Micro Area",37100
44580,"Sterling, IL Micro Area",8600
44620,"Stevens Point, WI Micro Area",26900
44660,"Stillwater, OK Micro Area",37100
44700,"Stockton, CA Metro Area",144900
44740,"Storm Lake, IA Micro Area",16400
44780,"Sturgis, MI Micro Area",22900
44860,"Sulphur Springs, TX Micro Area",26800
44900,"Summerville, GA Micro Area",13300
44940,"Sumter, SC Metro Area",8900
44980,"Sunbury, PA Micro Area",15500
45000,"Susanville, CA Micro Area",34900
45020,"Sweetwater, TX Micro Area",23100
45060,"Syracuse, NY Metro Area",14200
45140,"Tahlequah, OK Micro Area",18300
45180,"Talladega-Sylacauga, AL Micro Area",20400
45220,"Tallahassee, FL Metro Area",22700
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",66300
45340,"Taos, NM Micro Area",32800
45380,"Taylorville, IL Micro Area",9400
45460,"Terre Haute, IN Metro Area",11500
45500,"Texarkana, TX-AR Metro Area",17700
45520,"The Dalles, OR Micro Area",56000
45540,"The Villages, FL Metro Area",53200
45580,"Thomaston, GA Micro Area",17200
45620,"Thomasville, GA Micro Area",27200
45660,"Tiffin, OH Micro Area",12000
45700,"Tifton, GA Micro Area",10600
45740,"Toccoa, GA Micro Area",22700
45780,"Toledo, OH Metro Area",20200
45820,"Topeka, KS Metro Area",17500
45860,"Torrington, CT Micro Area",3700
45900,"Traverse City, MI Micro Area",50400
45940,"Trenton-Princeton, NJ Metro Area",13600
45980,"Troy, AL Micro Area",26100
46020,"Truckee-Grass Valley, CA Micro Area",99100
46060,"Tucson, AZ Metro Area",39500
46100,"Tullahoma-Manchester, TN Micro Area",40300
46140,"Tulsa, OK Metro Area",23600
46180,"Tupelo, MS Micro Area",18800
46220,"Tuscaloosa, AL Metro Area",19800
46300,"Twin Falls, ID Metro Area",36000
46340,"Tyler, TX Metro Area",33600
46380,"Ukiah, CA Micro Area",80100
46460,"Union City, TN Micro Area",12600
46500,"Urbana, OH Micro Area",14000
46520,"Urban Honolulu, HI Metro Area",122100
46540,"Utica-Rome, NY Metro Area",17100
46620,"Uvalde, TX Micro Area",26000
46660,"Valdosta, GA Metro Area",14400
46700,"Vallejo, CA Metro Area",158800
46780,"Van Wert, OH Micro Area",15200
46820,"Vermillion, SD Micro Area",33100
46860,"Vernal, UT Micro Area",4600
46900,"Vernon, TX Micro Area",4000
46980,"Vicksburg, MS Micro Area",40300
47020,"Victoria, TX Metro Area",32700
47080,"Vidalia, GA Micro Area",9600
47180,"Vincennes, IN Micro Area",13200
47220,"Vineland-Bridgeton, NJ Metro Area",4000
47240,"Vineyard Haven, MA Micro Area",133200
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",20000
47300,"Visalia, CA Metro Area",60900
47340,"Wabash, IN Micro Area",14500
47380,"Waco, TX Metro Area",37300
47420,"Wahpeton, ND-MN Micro Area",27800
47460,"Walla Walla, WA Metro Area",55700
47540,"Wapakoneta, OH Micro Area",13100
47580,"Warner Robins, GA Metro Area",24900
47620,"Warren, PA Micro Area",12300
47660,"Warrensburg, MO Micro Area",21900
47700,"Warsaw, IN Micro Area",20600
47780,"Washington, IN Micro Area",29600
47820,"Washington, NC Micro Area",22900
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",58200
47920,"Washington Court House, OH Micro Area",10800
47940,"Waterloo-Cedar Falls, IA Metro Area",19000
47980,"Watertown, SD Micro Area",32600
48020,"Watertown-Fort Atkinson, WI Micro Area",21300
48060,"Watertown-Fort Drum, NY Metro Area",9100
48100,"Wauchula, FL Micro Area",13400
48140,"Wausau-Weston, WI Metro Area",13700
48180,"Waycross, GA Micro Area",7600
48220,"Weatherford, OK Micro Area",21100
48260,"Weirton-Steubenville, WV-OH Metro Area",9000
48300,"Wenatchee, WA Metro Area",67500
48460,"West Plains, MO Micro Area",11800
48540,"Wheeling, WV-OH Metro Area",18900
48580,"Whitewater, WI Micro Area",23300
48620,"Wichita, KS Metro Area",19800
48660,"Wichita Falls, TX Metro Area",16400
48700,"Williamsport, PA Metro Area",23400
48780,"Williston, ND Micro Area",53400
48820,"Willmar, MN Micro Area",17200
48900,"Wilmington, NC Metro Area",43500
48940,"Wilmington, OH Micro Area",19100
48980,"Wilson, NC Micro Area",10800
49020,"Winchester, VA-WV Metro Area",36800
49080,"Winnemucca, NV Micro Area",26300
49100,"Winona, MN Micro Area",19300
49180,"Winston-Salem, NC Metro Area",14700
49220,"Wisconsin Rapids-Marshfield, WI Micro Area",13600
49260,"Woodward, OK Micro Area",15600
49300,"Wooster, OH Micro Area",20600
49340,"Worcester, MA-CT Metro Area",39200
49380,"Worthington, MN Micro Area",23500
49420,"Yakima, WA Metro Area",33200
49460,"Yankton, SD Micro Area",24100
49620,"York-Hanover, PA Metro Area",14900
49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",11400
49700,"Yuba City, CA Metro Area",104100
49740,"Yuma, AZ Metro Area",27100
49780,"Zanesville, OH Micro Area",17800
49820,"Zapata, TX Micro Area",33500
