"CBSAA","NAME_E.y","housing_chg"
15540,"Burlington-South Burlington, VT Metro Area",31300
15580,"Butte-Silver Bow, MT Micro Area",27200
15620,"Cadillac, MI Micro Area",22600
15660,"Calhoun, GA Micro Area",35300
15680,"California-Lexington Park, MD Metro Area",21300
15700,"Cambridge, MD Micro Area",-400
15740,"Cambridge, OH Micro Area",27200
15780,"Camden, AR Micro Area",9300
15820,"Campbellsville, KY Micro Area",18100
15860,"Cañon City, CO Micro Area",39000
15940,"Canton-Massillon, OH Metro Area",16200
15980,"Cape Coral-Fort Myers, FL Metro Area",77900
16020,"Cape Girardeau, MO-IL Metro Area",23600
16060,"Carbondale-Marion, IL Metro Area",17800
16100,"Carlsbad-Artesia, NM Micro Area",36300
16180,"Carson City, NV Metro Area",113900
16220,"Casper, WY Metro Area",29800
16260,"Cedar City, UT Micro Area",65400
16300,"Cedar Rapids, IA Metro Area",13800
16340,"Cedartown, GA Micro Area",19300
16380,"Celina, OH Micro Area",33600
16460,"Centralia, IL Micro Area",13000
16500,"Centralia, WA Micro Area",57900
16540,"Chambersburg-Waynesboro, PA Metro Area",12900
16580,"Champaign-Urbana, IL Metro Area",20000
16620,"Charleston, WV Metro Area",11500
16660,"Charleston-Mattoon, IL Micro Area",13300
16700,"Charleston-North Charleston, SC Metro Area",60200
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",50700
16820,"Charlottesville, VA Metro Area",43400
16860,"Chattanooga, TN-GA Metro Area",24900
16940,"Cheyenne, WY Metro Area",49900
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",33000
17020,"Chico, CA Metro Area",83000
17060,"Chillicothe, OH Micro Area",14700
17140,"Cincinnati, OH-KY-IN Metro Area",21900
17220,"Clarksburg, WV Micro Area",26500
17260,"Clarksdale, MS Micro Area",6000
17300,"Clarksville, TN-KY Metro Area",27600
17340,"Clearlake, CA Micro Area",73700
17380,"Cleveland, MS Micro Area",13700
17420,"Cleveland, TN Metro Area",20200
17460,"Cleveland-Elyria, OH Metro Area",17300
17500,"Clewiston, FL Micro Area",33500
17540,"Clinton, IA Micro Area",10100
17580,"Clovis, NM Micro Area",6800
17620,"Coamo, PR Micro Area",-1600
