"GISJOIN","CBSA","chg_white_2010_2020","chg_black_2010_2020","chg_aiak_2010_2020","chg_asian_2010_2020","chg_nhpi_2010_2020","chg_other_2010_2020","chg_twoplus_2010_2020"
"G13140","Beaumont-Port Arthur, TX Metro Area",-27705,525,481,1894,34,9406,24185
"G13180","Beaver Dam, WI Micro Area",-3903.38,385,53,45,-30,870,3213
"G13220","Beckley, WV Micro Area",-5775,-621,-58,113,-7,121,1959
"G13260","Bedford, IN Micro Area",-2377,18,-3,-16,-3,104,1154
"G13300","Beeville, TX Micro Area",-9745,-197,47,44,-13,4080,4970
"G13340","Bellefontaine, OH Micro Area",-1673,-65,-16,85,-2,307,1656
"G13380","Bellingham, WA Metro Area",4129.98000000001,418,594,3037,233,3115,14180
"G13420","Bemidji, MN Micro Area",-560.870000000003,281,414.17,-29,0,159,1529.11
"G13460","Bend, OR Metro Area",23767.48,319,114,1005,62,1989.99,13268.83
"G13500","Bennettsville, SC Micro Area",-1148,-1338,-169,24,3,-155,517
"G13540","Bennington, VT Micro Area",-1675.09,122,-24,137,-11,210,1463
"G13620","Berlin, NH-VT Micro Area",-3671.64,375,-53,31,7,61,1076.89
"G13660","Big Rapids, MI Micro Area",-4179.3,-283,-43,41,6,152,1221.98
"G13700","Big Spring, TX Micro Area",-2264,-460,87,140,9,-1813,4149
"G13740","Billings, MT Metro Area",5664.78,363,1372,380,115,1111,8149.38
"G13780","Binghamton, NY Metro Area",-22769,3147,149,2314,5,2316,10251
"G13820","Birmingham-Hoover, AL Metro Area",-22877,13798,1478,5746,20,11390,43029
"G13860","Bishop, CA Micro Area",-1989,-12,352,39,1,591,1488
"G13900","Bismarck, ND Metro Area",12939,2146,1187,783,306,1295,4314
"G13940","Blackfoot, ID Micro Area",-122,21,370,-85,3,-308,2506
"G13980","Blacksburg-Christiansburg-Radford, VA Metro Area",-8472.07000000001,1236,27.97,3216.76,19,1469.97,5923.57
"G14020","Bloomington, IN Metro Area",-11163,677,-37,1170,-17,992,7506
"G14060","Bloomington-Normal, IL Metro Area",-10792,2570,100,915,7,1711,6871
"G14100","Bloomsburg-Berwick, PA Micro Area",-5873.24000000001,-259,34,538,3,466,2357
"G14140","Bluefield, WV-VA Micro Area",-9767.74000000001,-437,37,-103,14,254,2785
"G14180","Blytheville, AR Micro Area",-5445,-1494,-37,12,5,82,1082.01
"G14220","Bogalusa, LA Micro Area",-1550.8,-1767.14,10,54.01,-3,260,1280.15
