GISJOIN,GEOGYEAR,CBSA,CBSAA,CM1AA1990,CM1AA1990L,CM1AA1990U,CM1AA2000,CM1AA2000L,CM1AA2000U,CM1AA2010,CM1AA2020,CM1AA2020L,CM1AA2020U,CM1AB1990,CM1AB1990L,CM1AB1990U,CM1AB2000,CM1AB2000L,CM1AB2000U,CM1AB2010,CM1AB2020,CM1AB2020L,CM1AB2020U,CM1AC1990,CM1AC1990L,CM1AC1990U,CM1AC2000,CM1AC2000L,CM1AC2000U,CM1AC2010,CM1AC2020,CM1AC2020L,CM1AC2020U,CM1AD1990,CM1AD1990L,CM1AD1990U,CM1AD2000,CM1AD2000L,CM1AD2000U,CM1AD2010,CM1AD2020,CM1AD2020L,CM1AD2020U,CM1AE1990,CM1AE1990L,CM1AE1990U,CM1AE2000,CM1AE2000L,CM1AE2000U,CM1AE2010,CM1AE2020,CM1AE2020L,CM1AE2020U,CM1AF1990,CM1AF1990L,CM1AF1990U,CM1AF2000,CM1AF2000L,CM1AF2000U,CM1AF2010,CM1AF2020,CM1AF2020L,CM1AF2020U,CM1AG1990,CM1AG2000,CM1AG2000L,CM1AG2000U,CM1AG2010,CM1AG2020,CM1AG2020L,CM1AG2020U
"G40900","2010","Sacramento--Arden-Arcade--Roseville, CA Metro Area","40900",1170619.78,1170499,1171111,1257631.03,1257626,1257641,1389804,1258236.32,1258157,1258349,101942.92,101940,101954,128073.00,128073,128073,158426,167385.86,167382,167391,17022.04,17021,17026,19077.00,19077,19077,21603,27479.00,27479,27481,109254.51,109242,109302,162158.00,162158,162158,255995,356825.16,356824,356840,5278.63,5278,5281,8366.00,8365,8366,15840,21523.00,21523,21524,77123.09,77116,77150,128734.07,128734,128739,180226,249329.47,249295,249355,,92818.00,92815,92818,127233,316602.34,316560,316635
"G40940","2010","Safford, AZ Micro Area","40940",27438.00,27438,27438,28812.00,28812,28812,33341,31627.57,31627,31708,530.00,530,530,669.00,669,669,772,624.00,624,624,4134.00,4134,4134,5147.00,5147,5147,5571,5745.00,5745,5750,108.00,108,108,201.00,201,201,246,267.00,267,268,14.00,14,14,16.00,16,16,57,25.00,25,25,2338.00,2338,2338,6181.00,6181,6181,4302,4118.00,4118,4119,,1010.00,1010,1010,1368,5690.01,5690,5699
"G40980","2010","Saginaw-Saginaw Township North, MI Metro Area","40980",165430.00,165430,165430,158220.00,158220,158220,149272,133915.00,133915,133915,36849.00,36849,36849,39112.00,39112,39112,38114,34615.00,34615,34615,915.00,915,915,863.00,863,863,877,818.00,818,818,1253.00,1253,1253,1671.00,1671,1671,2108,2420.00,2420,2420,19.00,19,19,28.00,28,28,65,85.00,85,85,7480.00,7480,7480,6039.00,6039,6039,4757,5579.00,5579,5579,,4106.00,4106,4106,4976,12692.00,12692,12692
"G41060","2010","St. Cloud, MN Metro Area","41060",146898.70,146898,146951,160765.61,160765,160810,174610,167002.84,166952,167003,475.00,475,475,1376.00,1376,1376,5407,15337.00,15337,15337,429.00,429,429,527.00,527,527,632,860.00,860,860,950.00,950,950,2496.00,2496,2496,3407,3654.00,3654,3654,17.00,17,17,61.00,61,61,65,78.00,78,78,207.00,207,207,753.00,753,753,2022,4041.00,4041,4041,,1414.03,1414,1416,2950,8698.00,8698,8698
"G41100","2010","St. George, UT Metro Area","41100",47202.00,47202,47202,84543.00,84543,84543,123914,151777.00,151327,151777,66.00,66,66,186.00,186,186,790,988.00,985,988,706.00,706,706,1328.00,1328,1328,1869,2189.00,2185,2189,169.00,169,169,405.00,405,405,982,1866.00,1865,1866,121.00,121,121,384.00,384,384,1078,1669.00,1669,1669,296.00,296,296,2020.00,2020,2020,6313,9010.00,9002,9010,,1488.00,1488,1488,3169,12780.00,12762,12780
"G41140","2010","St. Joseph, MO-KS Metro Area","41140",110739.69,110725,111009,114125.54,114112,114357,114887,103413.01,103413,103430,3561.00,3561,3561,5013.00,5013,5013,6436,5519.00,5519,5519,492.00,492,492,596.00,596,596,585,618.00,618,618,315.00,315,315,464.00,464,464,845,1227.00,1227,1227,25.00,25,25,22.00,22,22,200,461.00,461,461,684.00,684,684,650.01,650,653,1719,2192.00,2192,2192,,1466.00,1466,1467,2657,8037.00,8037,8038
"G41180","2010","St. Louis, MO-IL Metro Area","41180",2119241.42,2119058,2119320,2128700.15,2128567,2128733,2153118,2028748.96,2028604,2028789,425471.90,425469,425472,479000.71,478992,479002,516446,507372.00,507362,507372,5278.91,5277,5279,6256.00,6256,6256,6811,7816.00,7816,7816,23452.00,23452,23452,37297.00,37296,37297,60072,82242.00,82242,82242,463.00,463,463,694.88,694,695,1037,1074.00,1074,1074,6981.79,6979,6982,13666.00,13666,13666,24290,44910.00,44906,44910,,33059.00,33058,33059,51122,171604.00,171592,171605
"G41220","2010","St. Marys, GA Micro Area","41220",23284.00,23284,23284,32765.00,32765,32765,37557,38371.00,38371,38371,6079.00,6079,6079,8783.00,8783,8783,9799,9697.00,9697,9697,150.00,150,150,216.00,216,216,259,261.00,261,261,367.00,367,367,441.00,441,441,724,882.00,882,882,38.00,38,38,37.00,37,37,76,77.00,77,77,249.00,249,249,599.00,599,599,567,1176.00,1176,1176,,823.00,823,823,1531,4304.00,4304,4304
"G41260","2010","St. Marys, PA Micro Area","41260",34702.00,34702,35065,34746.00,34746,35061,31469,29555.00,29555,29555,15.00,15,15,52.00,52,53,89,80.00,80,80,35.00,35,36,33.00,33,33,34,22.00,22,22,89.00,89,89,122.00,122,122,96,113.00,113,113,9.00,9,9,15.00,15,15,6,12.00,12,12,28.00,28,28,36.00,36,36,42,98.00,98,98,,108.00,108,111,210,1110.00,1110,1110
"G41420","2010","Salem, OR Metro Area","41420",255211.71,255101,255501,288107.65,288057,288156,311464,301595.03,301164,302330,2332.00,2332,2333,2801.99,2798,2802,3795,4896.00,4895,4897,4040.98,4034,4044,5262.00,5261,5262,6575,8759.35,8740,8768,4180.00,4180,4180,5679.99,5679,5680,7430,9275.01,9275,9282,566.00,566,567,1175.00,1175,1175,2539,4182.01,4181,4184,11693.00,11692,11693,32940.00,32940,32940,43860,52783.45,52747,52803,,11247.00,11247,11247,15075,51875.40,51839,51959
