GISJOIN,GEOGYEAR,CBSA,CBSAA,CM1AA1990,CM1AA1990L,CM1AA1990U,CM1AA2000,CM1AA2000L,CM1AA2000U,CM1AA2010,CM1AA2020,CM1AA2020L,CM1AA2020U,CM1AB1990,CM1AB1990L,CM1AB1990U,CM1AB2000,CM1AB2000L,CM1AB2000U,CM1AB2010,CM1AB2020,CM1AB2020L,CM1AB2020U,CM1AC1990,CM1AC1990L,CM1AC1990U,CM1AC2000,CM1AC2000L,CM1AC2000U,CM1AC2010,CM1AC2020,CM1AC2020L,CM1AC2020U,CM1AD1990,CM1AD1990L,CM1AD1990U,CM1AD2000,CM1AD2000L,CM1AD2000U,CM1AD2010,CM1AD2020,CM1AD2020L,CM1AD2020U,CM1AE1990,CM1AE1990L,CM1AE1990U,CM1AE2000,CM1AE2000L,CM1AE2000U,CM1AE2010,CM1AE2020,CM1AE2020L,CM1AE2020U,CM1AF1990,CM1AF1990L,CM1AF1990U,CM1AF2000,CM1AF2000L,CM1AF2000U,CM1AF2010,CM1AF2020,CM1AF2020L,CM1AF2020U,CM1AG1990,CM1AG2000,CM1AG2000L,CM1AG2000U,CM1AG2010,CM1AG2020,CM1AG2020L,CM1AG2020U
"G10020","2010","Abbeville, LA Micro Area","10020",42320.30,42237,43225,44598.12,44498,45769,46922,44477.03,44456,44535,6968.15,6956,7236,7631.68,7624,7885,8286,7931.00,7931,7931,82.00,82,82,161.17,161,170,209,195.00,195,195,678.00,678,678,977.28,977,979,1160,1263.00,1263,1263,1.00,1,1,6.00,6,6,5,13.00,13,13,101.00,101,101,141.04,141,145,603,969.00,969,969,,411.02,410,442,814,2511.00,2511,2512
"G10100","2010","Aberdeen, SD Micro Area","10100",38710.98,38702,38740,38185.82,38171,38205,38038,36898.00,36898,36898,46.00,46,46,103.00,103,103,199,578.00,578,578,1001.00,1001,1001,975.00,975,975,1123,1237.00,1237,1237,144.00,144,144,146.00,146,146,360,945.00,945,945,0.00,0,0,32.00,32,32,42,45.00,45,45,34.00,34,34,65.00,65,65,169,725.00,725,725,,320.00,320,320,671,1859.00,1859,1859
"G10140","2010","Aberdeen, WA Micro Area","10140",60229.89,60003,60249,59334.86,59294,59338,61825,59040.05,58992,59254,119.00,119,119,226.00,225,226,803,1026.00,1026,1026,2682.00,2677,2682,3132.00,3132,3132,3325,3878.03,3874,3884,651.00,650,651,818.00,818,818,1032,1049.96,1049,1053,61.00,61,61,73.00,73,73,182,134.00,134,134,432.00,432,432,1527.00,1527,1528,2817,3666.97,3666,3671,,2082.98,2078,2083,2813,6830.10,6826,6856
"G10180","2010","Abilene, TX Metro Area","10180",125505.01,125416,125561,130625.01,130587,130674,131508,124281.00,124281,124281,8215.00,8215,8215,10938.00,10938,10938,12184,13928.00,13928,13928,541.00,541,541,916.00,916,917,1084,1462.00,1462,1462,1451.00,1451,1451,1708.00,1708,1708,2209,3091.00,3091,3091,69.00,69,69,94.00,94,94,132,203.00,203,203,12223.00,12223,12231,12462.00,12462,12465,13268,13988.00,13988,13988,,3502.00,3502,3502,4867,19626.00,19626,19626
"G10220","2010","Ada, OK Micro Area","10220",28246.19,28143,28374,26638.06,26619,26712,26687,23271.04,23271,23344,862.00,862,862,725.00,725,725,902,884.00,884,884,4741.00,4715,4750,5451.00,5437,5459,6512,7171.00,7171,7178,110.00,110,110,160.00,160,160,244,373.00,373,373,3.00,3,3,6.00,6,6,17,13.00,13,13,157.00,157,157,278.00,278,278,425,774.00,774,774,,1885.02,1879,1891,2705,5579.02,5579,5584
"G10300","2010","Adrian, MI Micro Area","10300",86323.00,86323,86323,91484.00,91484,91484,92174,86549.00,86549,86549,1431.00,1431,1431,2094.00,2094,2094,2539,2614.00,2614,2614,303.00,303,303,408.00,408,408,475,504.00,504,504,485.00,485,485,450.00,450,450,519,497.00,497,497,1.00,1,1,7.00,7,7,26,17.00,17,17,2933.00,2933,2933,2974.00,2974,2974,1967,2224.00,2224,2224,,1473.00,1473,1473,2192,7018.00,7018,7018
"G10420","2010","Akron, OH Metro Area","10420",583851.76,582675,583907,596823.67,595625,596884,585423,540592.94,540549,540602,65090.47,65085,65091,76447.66,76446,76448,84807,87763.00,87762,87763,1357.00,1357,1357,1363.00,1362,1363,1311,1327.00,1327,1327,6096.82,6088,6097,8887.00,8887,8887,14190,26046.00,26046,26046,83.00,83,83,120.00,120,120,173,206.00,206,206,1046.93,1046,1047,1917.98,1914,1918,3015,6659.00,6659,6659,,9342.22,9325,9343,14281,39620.00,39617,39620
"G10460","2010","Alamogordo, NM Micro Area","10460",41313.01,41313,41329,45919.00,45919,45919,46352,38165.00,38151,38175,2755.00,2755,2755,2440.00,2440,2440,2251,2662.00,2662,2664,2984.00,2984,2984,3614.00,3614,3614,4271,4981.00,4981,4981,898.00,898,898,728.00,728,728,749,1056.00,1055,1058,68.00,68,68,82.00,82,82,153,183.00,183,184,3910.00,3910,3910,7273.00,7273,7273,7352,8371.00,8370,8372,,2242.00,2242,2242,2669,12419.00,12415,12427
"G10500","2010","Albany, GA Metro Area","10500",79579.00,79579,79628,77861.00,77861,77935,70063,63263.00,63263,63263,65811.00,65811,65820,76806.00,76806,76810,82029,79331.00,79331,79331,345.00,345,345,394.00,394,394,368,318.00,318,318,528.00,528,528,846.00,846,846,1481,1695.00,1695,1695,24.00,24,24,39.00,39,39,148,55.00,55,55,287.00,287,289,786.00,786,794,1348,2075.00,2075,2075,,1101.00,1101,1101,1871,5061.00,5061,5061
"G10540","2010","Albany-Lebanon, OR Micro Area","10540",88373.45,88210,88374,96072.33,95995,96073,105669,107699.67,107238,107837,182.00,182,182,327.00,327,327,534,681.00,680,682,1055.99,1054,1056,1313.00,1313,1313,1488,1727.04,1727,1729,693.00,693,693,799.00,799,799,1111,1477.00,1474,1480,106.00,106,106,151.00,151,151,162,295.00,295,296,826.00,826,826,1855.00,1855,1855,3888,4716.01,4716,4722,,2564.99,2563,2565,3820,12014.08,11966,12035
"G10580","2010","Albany-Schenectady-Troy, NY Metro Area","10580",754654.00,754633,755327,735797.74,735784,736415,739196,683207.00,683207,683207,38926.21,38926,38936,52852.16,52852,52856,67361,77752.00,77752,77752,1402.03,1402,1403,1750.00,1750,1751,2072,2932.00,2932,2932,10386.08,10386,10387,15781.00,15781,15781,27192,46308.00,46308,46308,107.00,107,107,209.00,209,209,287,424.00,424,424,3987.03,3987,3989,7226.00,7226,7227,13226,23305.00,23305,23305,,12271.09,12271,12277,21382,65334.00,65334,65334
"G10620","2010","Albemarle, NC Micro Area","10620",45269.00,45269,45269,49196.00,49196,49196,50623,49149.00,49149,49149,5972.00,5972,5972,6657.00,6657,6657,6630,7079.00,7079,7079,155.00,155,155,144.00,144,144,197,275.00,275,275,246.00,246,246,1049.00,1049,1049,1118,1145.00,1145,1145,3.00,3,3,11.00,11,11,42,9.00,9,9,120.00,120,120,584.00,584,584,1271,1881.00,1881,1881,,459.00,459,459,704,2966.00,2966,2966
"G10660","2010","Albert Lea, MN Micro Area","10660",32217.00,32217,32217,31028.00,31028,31028,29121,25988.00,25988,25988,11.00,11,11,79.00,79,79,231,486.00,486,486,64.00,64,64,64.00,64,64,68,136.00,136,136,129.00,129,129,178.00,178,178,238,1148.00,1148,1148,3.00,3,3,6.00,6,6,18,5.00,5,5,636.00,636,636,952.00,952,952,1061,1275.00,1275,1275,,277.00,277,277,518,1857.00,1857,1857
"G10700","2010","Albertville, AL Micro Area","10700",69360.98,69294,69361,76790.97,76784,76791,81464,76926.00,76926,76926,1087.00,1087,1087,1207.00,1207,1207,1494,2428.00,2428,2428,231.00,231,231,433.00,433,433,706,1398.00,1398,1398,106.00,106,106,201.00,201,201,478,602.00,602,602,5.00,5,5,36.00,36,36,103,137.00,137,137,42.00,42,42,2663.00,2663,2663,7210,9587.00,9587,9587,,900.00,900,900,1564,6534.00,6534,6534
"G10740","2010","Albuquerque, NM Metro Area","10740",456873.01,456868,457043,508859.00,508859,508859,617629,483911.12,483247,484021,14681.00,14681,14681,18053.00,18053,18053,23742,25777.00,25776,25777,30243.99,30104,30248,40346.00,40226,40346,51987,60151.01,60139,60163,7731.00,7731,7731,11934.00,11934,11934,17924,23298.00,23295,23298,381.00,381,381,751.00,751,751,927,1128.00,1128,1128,89506.00,89506,89516,119426.04,119426,119428,136567,133031.96,132989,133038,,30280.00,30279,30280,38301,189229.83,189164,189246
"G10760","2010","Alexander City, AL Micro Area","10760",35747.77,35732,35876,38296.36,38265,38428,36735,35301.00,35301,35301,13994.09,13994,14034,14690.34,14690,14747,14665,13417.00,13417,13417,96.00,96,96,148.06,147,149,161,158.00,158,158,39.02,39,50,80.00,80,80,213,230.00,230,230,2.00,2,2,4.00,4,4,23,0.00,0,0,23.00,23,23,146.00,146,146,848,839.00,839,839,,333.00,333,333,510,1753.00,1753,1753
"G10780","2010","Alexandria, LA Metro Area","10780",107848.94,107810,107849,99996.94,99956,99997,101522,95222.47,94903,95392,39345.00,39345,39345,40667.00,40667,40667,45583,43592.99,43588,43598,643.00,643,643,1096.00,1094,1096,1263,1231.99,1225,1232,902.00,902,902,1113.00,1113,1113,1618,1895.00,1893,1896,36.00,36,36,50.00,50,50,44,41.00,41,41,307.00,307,307,596.00,596,596,1329,2388.99,2380,2389,,1516.00,1516,1516,2563,7825.98,7809,7834
"G10820","2010","Alexandria, MN Micro Area","10820",28465.14,28454,28503,32326.15,32326,32343,35186,36886.73,36871,36887,14.00,14,14,60.00,60,60,150,235.00,235,235,74.00,74,74,78.00,78,78,105,129.00,129,129,98.00,98,98,132.00,132,132,164,228.00,228,228,2.00,2,2,9.00,9,9,4,11.00,11,11,21.00,21,21,58.00,58,58,73,285.00,284,285,,158.00,158,158,327,1231.00,1231,1231
"G10860","2010","Alice, TX Micro Area","10860",28503.98,28503,28504,30634.00,30634,30634,35620,22187.00,22187,22187,218.00,218,218,237.00,237,237,237,265.00,265,265,82.00,82,82,243.00,243,243,270,264.00,264,264,90.00,90,90,171.00,171,171,151,158.00,158,158,13.00,13,13,35.00,35,35,9,16.00,16,16,8771.53,8752,8772,7050.00,7050,7050,3892,4973.00,4973,4973,,956.00,956,956,659,11028.00,11028,11028
"G10880","2010","Allegan, MI Micro Area","10880",86759.95,86681,86760,98768.96,98707,98769,103513,105564.00,105564,105583,1448.00,1448,1448,1385.00,1385,1385,1358,1584.00,1584,1584,543.00,543,543,576.00,576,576,636,799.00,799,799,392.00,392,392,582.00,582,582,648,874.00,874,874,19.00,19,19,35.00,35,35,22,22.00,22,22,1347.00,1347,1347,2924.00,2924,2924,3082,4127.00,4127,4127,,1394.00,1394,1394,2149,7532.00,7532,7535
"G10900","2010","Allentown-Bethlehem-Easton, PA-NJ Metro Area","10900",649868.26,648616,651441,669593.87,668995,670652,693837,628386.53,628386,628803,13465.86,13463,13470,20763.95,20759,20771,41220,54138.00,54138,54140,688.00,686,688,1170.84,1167,1172,2166,2711.00,2711,2711,7220.22,7216,7229,11634.14,11631,11639,20434,27246.01,27246,27254,73.00,73,73,234.83,234,235,281,319.00,319,319,15350.80,15347,15354,25869.92,25863,25870,43821,73524.01,73524,73528,,11124.86,11117,11127,19414,75565.05,75565,75599
"G10940","2010","Alma, MI Micro Area","10940",37827.00,37827,37827,38908.00,38908,38908,38487,36008.00,36008,36008,328.00,328,328,1572.00,1572,1572,2354,2238.00,2238,2238,144.00,144,144,232.00,232,232,197,198.00,198,198,95.00,95,95,145.00,145,145,146,164.00,164,164,3.00,3,3,7.00,7,7,10,31.00,31,31,585.00,585,585,746.00,746,746,702,1153.00,1153,1153,,675.00,675,675,580,1969.00,1969,1969
"G10980","2010","Alpena, MI Micro Area","10980",30371.91,30303,30372,30752.90,30695,30753,28845,27177.00,27177,27177,35.00,35,35,77.00,77,77,79,99.00,99,99,93.00,93,93,123.00,121,123,156,122.00,122,122,81.00,81,81,103.00,103,103,152,119.00,119,119,4.00,4,4,1.00,1,1,13,12.00,12,12,20.00,20,20,39.00,39,39,42,127.00,127,127,,218.00,218,218,311,1251.00,1251,1251
"G11020","2010","Altoona, PA Metro Area","11020",128831.55,128272,129419,126049.12,125540,126635,122238,113609.25,113084,113965,1072.99,1072,1073,1535.00,1535,1535,2129,2533.00,2532,2533,117.92,116,118,109.22,108,112,143,164.00,164,165,371.00,371,372,463.00,463,464,706,878.00,878,878,9.00,9,9,19.00,19,19,29,13.00,13,13,131.00,131,131,180.09,180,186,297,780.01,777,781,,779.00,779,780,1547,4836.77,4823,4848
"G11060","2010","Altus, OK Micro Area","11060",23060.00,23060,23060,21654.00,21654,21654,19255,16532.00,16532,16532,2696.00,2696,2696,2285.00,2285,2285,1985,1726.00,1726,1726,510.00,510,510,494.00,494,494,479,535.00,535,535,381.00,381,381,331.00,331,331,312,344.00,344,344,11.00,11,11,47.00,47,47,56,77.00,77,77,2106.00,2106,2106,2655.00,2655,2655,3075,2395.00,2395,2395,,973.00,973,973,1284,3176.00,3176,3176
"G11100","2010","Amarillo, TX Metro Area","11100",166808.58,166808,166823,180393.23,180393,180396,199405,174278.00,174278,174278,9799.00,9799,9799,12916.00,12916,12916,15278,17586.00,17586,17586,1409.00,1409,1409,1746.00,1746,1746,1908,2731.00,2731,2731,3205.00,3205,3205,3914.00,3914,3914,6525,8941.00,8941,8941,27.00,27,27,75.00,75,75,104,109.00,109,109,14896.00,14896,14896,22701.00,22701,22701,20155,25747.00,25747,25747,,4777.00,4777,4777,6506,37541.00,37541,37541
"G11140","2010","Americus, GA Micro Area","11140",18227.00,18227,18229,18487.00,18487,18487,17510,15208.00,15208,15208,15267.00,15267,15267,17454.00,17454,17454,18170,15997.00,15997,15997,103.00,103,103,106.00,106,106,108,85.00,85,85,102.00,102,102,199.00,199,199,457,524.00,524,524,11.00,11,11,12.00,12,12,21,13.00,13,13,106.00,106,106,470.00,470,470,1136,1259.00,1259,1259,,238.00,238,238,427,1077.00,1077,1077
"G11180","2010","Ames, IA Metro Area","11180",69143.00,69122,69143,72898.00,72898,72898,79344,81046.00,81046,81046,1191.00,1191,1191,1463.00,1463,1463,2196,3019.00,3019,3019,106.00,106,106,128.00,128,128,163,324.00,324,324,3447.00,3447,3447,4080.00,4080,4080,5383,5461.00,5461,5461,17.00,17,17,25.00,25,25,20,34.00,34,34,348.00,348,348,478.00,478,478,918,2641.00,2641,2641,,909.00,909,909,1518,6012.00,6012,6012
"G11220","2010","Amsterdam, NY Micro Area","11220",50171.71,49599,50371,47158.42,46598,47332,45519,40209.00,40209,40209,444.00,444,444,572.08,571,574,951,1267.00,1267,1267,93.99,93,94,123.99,121,124,169,159.00,159,159,211.82,211,212,263.02,262,264,369,489.00,489,489,5.00,5,5,6.00,6,6,19,20.00,20,20,1053.00,1053,1053,952.00,952,952,2211,2935.00,2935,2935,,630.96,622,633,981,4453.00,4453,4453
"G11260","2010","Anchorage, AK Metro Area","11260",219684.91,219662,219787,239947.00,239947,239958,268038,247481.00,247481,247510,14851.00,14851,14851,15610.00,15610,15610,17082,15697.00,15697,15698,16508.00,16508,16511,22205.00,22205,22208,28031,30505.00,30505,30506,9976.00,9976,9976,14847.00,14847,14847,24676,29205.00,29205,29206,1231.00,1231,1231,2497.00,2497,2497,6122,10507.00,10507,10507,3770.00,3770,3770,6212.00,6212,6212,7486,11832.00,11832,11832,,18287.00,18287,18287,29386,53102.00,53101,53105
"G11300","2010","Anderson, IN Metro Area","11300",119734.00,119734,119734,119892.00,119892,119892,115452,108594.00,108594,108594,9870.00,9870,9870,10511.00,10511,10511,10963,10225.00,10225,10225,299.00,299,299,310.00,310,310,320,407.00,407,407,399.00,399,399,469.00,469,469,553,655.00,655,655,16.00,16,16,21.00,21,21,45,43.00,43,43,351.00,351,351,803.00,803,803,1973,3139.00,3139,3139,,1352.00,1352,1352,2330,7066.00,7066,7066
"G11340","2010","Anderson, SC Metro Area","11340",120388.85,120131,120460,135182.27,135002,135272,149818,154543.21,154291,156419,24151.00,24143,24157,27491.26,27484,27496,30020,30461.74,30428,30700,173.00,173,173,362.00,361,362,478,616.07,616,618,332.04,328,338,703.00,703,703,1405,2415.60,2414,2443,8.08,8,9,27.00,27,27,43,58.39,58,59,148.00,148,148,670.88,670,689,2500,4766.34,4761,4845,,1310.02,1310,1315,2862,11076.63,11050,11232
"G11380","2010","Andrews, TX Micro Area","11380",10834.00,10834,10834,10024.00,10024,10024,11749,10909.00,10909,10909,274.00,274,274,214.00,214,214,222,237.00,237,237,82.00,82,82,115.00,115,115,142,220.00,220,220,153.00,153,153,92.00,92,92,91,112.00,112,112,1.00,1,1,3.00,3,3,1,0.00,0,0,2994.00,2994,2994,2183.00,2183,2183,2289,3278.00,3278,3278,,373.00,373,373,292,3854.00,3854,3854
"G11420","2010","Angola, IN Micro Area","11420",27146.00,27146,27146,32281.00,32281,32281,33098,31842.00,31842,31842,51.00,51,51,123.00,123,123,179,234.00,234,234,64.00,64,64,109.00,109,109,93,105.00,105,105,130.00,130,130,133.00,133,133,167,187.00,187,187,2.00,2,2,6.00,6,6,11,2.00,2,2,53.00,53,53,283.00,283,283,320,698.00,698,698,,279.00,279,279,317,1367.00,1367,1367
"G11460","2010","Ann Arbor, MI Metro Area","11460",236390.00,236390,236431,249916.00,249916,249941,256880,257687.90,257648,257688,31720.00,31720,31720,39697.00,39697,39697,43767,42818.99,42816,42819,1076.00,1076,1076,1161.00,1161,1161,1174,1190.00,1190,1190,11645.00,11645,11645,20338.00,20338,20338,27109,33632.00,33632,33632,79.00,79,79,126.00,126,126,128,201.00,201,201,2027.00,2027,2027,3364.00,3364,3364,4159,7429.00,7428,7429,,8293.00,8293,8294,11574,29299.00,29298,29299
"G11500","2010","Anniston-Oxford, AL Metro Area","11500",92874.05,92807,93022,88537.21,88396,88593,88840,80586.00,80586,80586,21578.00,21578,21578,20810.00,20809,20810,24382,25559.00,25559,25559,296.00,296,296,445.00,445,445,540,487.00,487,487,766.00,766,766,633.00,633,633,845,1190.00,1190,1190,103.00,103,103,76.00,76,76,96,119.00,119,119,418.00,418,418,667.00,666,667,1894,2471.00,2471,2471,,1081.00,1080,1081,1975,6029.00,6029,6029
"G11540","2010","Appleton, WI Metro Area","11540",169962.34,169948,170021,190388.34,190383,190422,207425,210508.00,210508,210508,235.00,235,235,991.00,991,991,1982,3497.00,3497,3497,2111.00,2111,2111,2610.00,2610,2610,3185,3395.00,3395,3395,2059.00,2059,2059,4224.01,4224,4225,6260,7895.00,7895,7895,18.00,18,18,59.00,59,59,81,154.00,154,154,425.00,425,425,1465.00,1465,1465,3433,5236.00,5236,5236,,1870.01,1870,1871,3300,12462.00,12462,12462
"G11580","2010","Arcadia, FL Micro Area","11580",19141.00,19141,20340,23619.00,23619,24726,23094,21320.02,21320,21357,3726.00,3726,3807,4098.00,4098,4221,4431,4270.00,4270,4272,97.00,97,102,511.00,511,513,137,177.00,177,177,98.00,98,108,131.00,131,149,178,192.00,192,192,1.00,1,4,13.00,13,13,11,8.00,8,8,802.00,802,807,3378.00,3378,3388,6178,4053.01,4053,4055,,459.00,459,474,833,3956.01,3956,3964
"G11620","2010","Ardmore, OK Micro Area","11620",42190.92,42126,42205,42980.91,42899,42981,42806,39327.00,39295,39461,3940.00,3940,3940,3660.00,3660,3660,3376,3070.00,3070,3077,4191.00,4186,4191,4335.99,4328,4336,4835,5079.00,5076,5084,160.00,160,160,299.00,299,299,551,660.00,660,660,16.00,16,16,15.00,15,15,9,51.00,51,51,578.00,577,578,832.00,832,832,1802,2928.00,2928,2929,,2329.00,2327,2329,3601,7034.00,7033,7047
"G11660","2010","Arkadelphia, AR Micro Area","11660",16344.00,16344,16348,17491.00,17491,17491,16518,14316.01,14221,14335,4913.00,4913,4925,5186.00,5186,5194,5413,5127.00,5102,5127,55.00,55,55,108.00,108,108,98,96.00,96,96,67.00,67,67,145.00,145,145,120,153.00,153,153,9.00,9,9,10.00,10,10,5,18.00,18,18,49.00,49,49,323.00,323,323,497,623.01,618,627,,283.00,283,283,344,1113.00,1111,1114
"G11700","2010","Asheville, NC Metro Area","11700",287897.82,287509,288444,337760.50,337411,338257,379546,388841.62,387361,389731,17481.00,17479,17481,18996.00,18996,18996,19299,19577.02,19573,19583,882.00,882,882,1367.00,1365,1368,1748,2242.98,2236,2243,1114.00,1114,1114,2073.00,2072,2074,3724,5126.00,5125,5127,36.00,36,36,117.00,117,117,490,1129.97,1127,1130,596.00,596,596,4927.00,4925,4931,12138,21197.93,21189,21205,,3925.87,3919,3927,7913,30911.26,30865,30938
"G11740","2010","Ashland, OH Micro Area","11740",46686.00,46686,46686,51231.00,51231,51231,51692,49248.59,49225,49260,460.00,460,460,424.00,424,424,398,394.00,394,394,49.00,49,49,57.00,57,57,89,114.00,114,114,260.00,260,260,287.00,287,287,275,322.00,322,322,11.00,11,11,15.00,15,15,39,33.00,33,33,41.00,41,41,112.00,112,112,119,285.00,285,285,,397.00,397,397,527,2050.01,2050,2051
"G11780","2010","Ashtabula, OH Micro Area","11780",95465.00,95465,95465,96635.00,96635,96635,94041,85486.00,85486,85486,3138.00,3138,3138,3247.00,3247,3247,3586,3606.00,3606,3606,196.00,196,196,195.00,195,195,241,203.00,203,203,330.00,330,330,346.00,346,346,375,349.00,349,349,20.00,20,20,25.00,25,25,22,18.00,18,18,672.00,672,672,878.00,878,878,1086,1659.00,1659,1659,,1402.00,1402,1402,2146,6253.00,6253,6253
"G11820","2010","Astoria, OR Micro Area","11820",32117.93,32104,32118,33184.89,33167,33185,33680,34525.08,34503,34530,114.00,114,114,185.00,185,185,195,226.00,226,226,373.00,373,373,367.00,367,367,362,431.00,431,431,391.00,391,391,430.00,429,430,457,564.00,564,564,52.00,52,52,60.00,60,60,86,104.00,104,104,253.00,253,253,585.00,585,585,1208,1627.00,1627,1627,,818.00,818,818,1051,3595.00,3594,3595
"G11860","2010","Atchison, KS Micro Area","11860",15597.96,15564,15598,15369.21,15297,15370,15395,14111.00,14111,14111,957.00,957,957,893.00,893,893,853,788.00,788,788,84.00,84,84,93.00,93,93,93,88.00,88,88,130.00,130,130,57.28,57,58,70,83.00,83,83,1.00,1,1,10.00,10,10,8,7.00,7,7,162.00,162,162,86.00,86,86,89,269.00,269,269,,266.56,265,268,416,1002.00,1002,1002
"G11900","2010","Athens, OH Micro Area","11900",56163.00,56163,56163,58166.00,58166,58166,59448,54514.99,54513,54534,1678.00,1678,1678,1485.00,1485,1485,1774,2894.00,2894,2894,167.00,167,167,177.00,177,177,162,247.00,247,247,1360.00,1360,1360,1184.00,1184,1184,1747,1223.00,1223,1223,14.00,14,14,14.00,14,14,16,2.00,2,2,167.00,167,167,224.00,224,224,237,630.00,630,630,,973.00,973,973,1373,2922.00,2922,2922
"G11940","2010","Athens, TN Micro Area","11940",40083.70,39973,40091,45443.12,45299,45464,47954,46564.00,46564,46564,2051.00,2051,2051,2195.00,2195,2195,2066,1870.00,1870,1870,96.00,96,96,132.97,131,133,178,182.00,182,182,115.00,115,115,344.00,344,344,388,430.00,430,430,6.00,6,6,12.00,12,12,11,22.00,22,22,30.00,30,30,367.00,366,367,628,915.00,915,915,,518.96,517,519,1041,3293.00,3293,3293
"G11980","2010","Athens, TX Micro Area","11980",52010.83,51739,52430,64773.41,64510,64928,67395,64501.00,64501,64501,4755.00,4755,4755,4842.01,4842,4845,4887,4790.00,4790,4790,181.00,181,184,397.62,391,399,433,675.00,675,675,133.00,133,133,221.00,221,221,328,526.00,526,526,8.00,8,8,24.00,24,24,32,31.00,31,31,1250.00,1250,1252,1990.55,1978,2005,4031,4794.00,4794,4794,,947.66,941,949,1426,6833.00,6833,6833
"G12020","2010","Athens-Clarke County, GA Metro Area","12020",104428.04,104420,104540,122139.11,122139,122238,137538,144425.08,144350,144598,28518.00,28518,28518,34011.00,34011,34016,37544,38610.00,38609,38610,220.00,220,222,335.00,335,335,405,792.00,792,792,2285.00,2285,2285,3652.00,3652,3652,6134,7699.05,7699,7705,19.00,19,19,69.00,69,69,92,98.00,98,98,555.00,555,555,3855.00,3855,3855,7216,10158.00,10158,10158,,2018.00,2018,2018,3612,13634.07,13634,13643
"G12060","2010","Atlanta-Sandy Springs-Marietta, GA Metro Area","12060",2215890.61,2215599,2216349,2695454.02,2695159,2695944,2920480,2758680.97,2758640,2759119,774675.00,774672,774717,1216931.00,1216927,1216938,1707913,2044091.55,2044090,2044108,6037.09,6035,6041,10729.03,10729,10733,17963,30377.00,30377,30377,51374.03,51374,51375,136341.85,136340,136342,254307,399085.08,399085,399087,641.00,641,641,1719.00,1719,1719,2649,3030.00,3030,3030,20800.00,20800,20800,117092.02,117092,117094,239457,365136.14,365136,365144,,69710.02,69710,69711,126091,469363.20,469360,469373
"G12100","2010","Atlantic City-Hammonton, NJ Metro Area","12100",172088.00,172088,172088,172632.00,172632,172632,179566,156796.45,156723,156847,39064.00,39064,39064,44534.00,44534,44534,44138,41519.01,41518,41524,565.00,565,565,669.00,669,669,1050,1253.00,1253,1253,4736.00,4736,4736,12771.00,12771,12771,20595,21783.98,21782,21784,46.00,46,46,114.00,114,114,92,342.00,342,342,7828.00,7828,7828,15307.00,15307,15307,20218,27191.99,27190,27192,,6525.00,6525,6525,8890,25647.97,25643,25653
"G12140","2010","Auburn, IN Micro Area","12140",35009.31,35009,35055,39381.35,39381,39439,40931,40666.00,40666,40666,37.02,37,38,101.00,101,101,148,190.00,190,190,91.00,91,91,87.00,87,87,99,95.00,95,95,82.00,82,83,134.00,134,134,192,228.00,228,228,6.00,6,6,20.00,20,20,17,39.00,39,39,99.00,99,99,269.00,269,269,349,361.00,361,361,,293.00,293,293,487,1686.00,1686,1686
"G12180","2010","Auburn, NY Micro Area","12180",78320.00,78320,78320,76501.00,76501,76501,74042,67017.00,67017,67017,2995.00,2995,2995,3272.00,3272,3272,3195,2910.00,2910,2910,275.00,275,275,256.00,256,256,283,310.00,310,310,313.00,313,313,348.00,348,348,390,385.00,385,385,18.00,18,18,20.00,20,20,31,54.00,54,54,392.00,392,392,718.00,718,718,654,1033.00,1033,1033,,848.00,848,848,1431,4539.00,4539,4539
"G12220","2010","Auburn-Opelika, AL Metro Area","12220",65003.38,64725,66558,85329.59,85014,86389,100006,111651.00,111651,111651,20407.56,20301,20423,26074.44,25943,26093,31901,39570.00,39570,39570,132.00,132,133,273.21,262,284,445,720.00,720,720,1570.07,1570,1573,1875.02,1875,1881,3658,8572.00,8572,8572,14.01,14,15,25.00,25,25,105,120.00,120,120,134.01,134,136,532.52,528,541,1873,4392.00,4392,4392,,1069.05,1067,1076,2259,9216.00,9216,9216
"G12260","2010","Augusta-Richmond County, GA-SC Metro Area","12260",284361.19,284310,284471,303865.20,303838,303970,325361,322122.22,322121,322175,142748.50,142723,142757,175361.95,175349,175363,196695,210449.64,210446,210490,965.00,965,965,1588.00,1588,1588,1941,2114.00,2114,2116,5226.00,5226,5226,7087.00,7087,7087,9669,13280.00,13280,13280,268.00,268,268,383.00,383,383,708,891.00,891,891,2191.00,2191,2191,4232.00,4232,4232,9730,15825.76,15815,15846,,7167.00,7167,7167,12773,38643.04,38643,38647
"G12300","2010","Augusta-Waterville, ME Micro Area","12300",114624.26,114434,115103,114128.21,113899,114733,117501,113639.00,113639,113639,266.00,266,266,404.00,404,406,687,919.00,919,919,379.00,379,379,469.00,469,470,586,511.00,511,511,486.00,483,487,690.00,690,691,892,1227.00,1227,1227,15.00,15,15,24.00,24,24,45,29.00,29,29,134.00,134,134,206.00,206,207,372,850.00,850,850,,1192.00,1191,1211,2068,6467.00,6467,6467
