GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AMWBE001,NAME_M,AMWBM001
"G53000500104002","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010400","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050104002",,,"Block Group 2, Census Tract 104, Benton County, Washington",146200,"Block Group 2, Census Tract 104, Benton County, Washington",14807
"G53000500104003","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010400","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050104003",,,"Block Group 3, Census Tract 104, Benton County, Washington",145900,"Block Group 3, Census Tract 104, Benton County, Washington",49101
"G53000500105001","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010500","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050105001",,,"Block Group 1, Census Tract 105, Benton County, Washington",184100,"Block Group 1, Census Tract 105, Benton County, Washington",20117
"G53000500105002","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010500","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050105002",,,"Block Group 2, Census Tract 105, Benton County, Washington",236800,"Block Group 2, Census Tract 105, Benton County, Washington",49626
"G53000500106001","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010600","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050106001",,,"Block Group 1, Census Tract 106, Benton County, Washington",202900,"Block Group 1, Census Tract 106, Benton County, Washington",28196
"G53000500106002","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010600","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050106002",,,"Block Group 2, Census Tract 106, Benton County, Washington",173300,"Block Group 2, Census Tract 106, Benton County, Washington",43772
"G53000500106003","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010600","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050106003",,,"Block Group 3, Census Tract 106, Benton County, Washington",,"Block Group 3, Census Tract 106, Benton County, Washington",
"G53000500106004","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010600","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050106004",,,"Block Group 4, Census Tract 106, Benton County, Washington",348300,"Block Group 4, Census Tract 106, Benton County, Washington",98563
"G53000500107011","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010701","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050107011",,,"Block Group 1, Census Tract 107.01, Benton County, Washington",205700,"Block Group 1, Census Tract 107.01, Benton County, Washington",83847
"G53000500107012","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010701","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050107012",,,"Block Group 2, Census Tract 107.01, Benton County, Washington",281900,"Block Group 2, Census Tract 107.01, Benton County, Washington",41277
"G53000500107031","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010703","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050107031",,,"Block Group 1, Census Tract 107.03, Benton County, Washington",165700,"Block Group 1, Census Tract 107.03, Benton County, Washington",30233
"G53000500107032","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010703","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050107032",,,"Block Group 2, Census Tract 107.03, Benton County, Washington",359600,"Block Group 2, Census Tract 107.03, Benton County, Washington",76536
"G53000500107033","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010703","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050107033",,,"Block Group 3, Census Tract 107.03, Benton County, Washington",83100,"Block Group 3, Census Tract 107.03, Benton County, Washington",20667
"G53000500107051","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010705","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050107051",,,"Block Group 1, Census Tract 107.05, Benton County, Washington",443900,"Block Group 1, Census Tract 107.05, Benton County, Washington",36100
"G53000500107052","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010705","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050107052",,,"Block Group 2, Census Tract 107.05, Benton County, Washington",370900,"Block Group 2, Census Tract 107.05, Benton County, Washington",42382
"G53000500107053","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010705","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050107053",,,"Block Group 3, Census Tract 107.05, Benton County, Washington",244300,"Block Group 3, Census Tract 107.05, Benton County, Washington",30607
"G53000500107054","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010705","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050107054",,,"Block Group 4, Census Tract 107.05, Benton County, Washington",245900,"Block Group 4, Census Tract 107.05, Benton County, Washington",18816
"G53000500107071","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010707","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050107071",,,"Block Group 1, Census Tract 107.07, Benton County, Washington",457700,"Block Group 1, Census Tract 107.07, Benton County, Washington",62939
"G53000500107072","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010707","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050107072",,,"Block Group 2, Census Tract 107.07, Benton County, Washington",287800,"Block Group 2, Census Tract 107.07, Benton County, Washington",10601
"G53000500107081","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010708","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050107081",,,"Block Group 1, Census Tract 107.08, Benton County, Washington",337500,"Block Group 1, Census Tract 107.08, Benton County, Washington",34972
"G53000500107082","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010708","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050107082",,,"Block Group 2, Census Tract 107.08, Benton County, Washington",266400,"Block Group 2, Census Tract 107.08, Benton County, Washington",90902
"G53000500107083","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010708","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050107083",,,"Block Group 3, Census Tract 107.08, Benton County, Washington",373500,"Block Group 3, Census Tract 107.08, Benton County, Washington",21485
"G53000500108071","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010807","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050108071",,,"Block Group 1, Census Tract 108.07, Benton County, Washington",457300,"Block Group 1, Census Tract 108.07, Benton County, Washington",43241
"G53000500108091","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010809","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050108091",,,"Block Group 1, Census Tract 108.09, Benton County, Washington",293200,"Block Group 1, Census Tract 108.09, Benton County, Washington",68209
"G53000500108092","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010809","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050108092",,,"Block Group 2, Census Tract 108.09, Benton County, Washington",130700,"Block Group 2, Census Tract 108.09, Benton County, Washington",40277
"G53000500108093","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010809","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050108093",,,"Block Group 3, Census Tract 108.09, Benton County, Washington",259200,"Block Group 3, Census Tract 108.09, Benton County, Washington",23340
"G53000500108101","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010810","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050108101",,,"Block Group 1, Census Tract 108.10, Benton County, Washington",341900,"Block Group 1, Census Tract 108.10, Benton County, Washington",15514
"G53000500108102","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010810","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050108102",,,"Block Group 2, Census Tract 108.10, Benton County, Washington",279700,"Block Group 2, Census Tract 108.10, Benton County, Washington",20689
"G53000500108103","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010810","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050108103",,,"Block Group 3, Census Tract 108.10, Benton County, Washington",305600,"Block Group 3, Census Tract 108.10, Benton County, Washington",54295
"G53000500108111","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010811","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050108111",,,"Block Group 1, Census Tract 108.11, Benton County, Washington",576400,"Block Group 1, Census Tract 108.11, Benton County, Washington",45454
"G53000500108112","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010811","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050108112",,,"Block Group 2, Census Tract 108.11, Benton County, Washington",402600,"Block Group 2, Census Tract 108.11, Benton County, Washington",38909
"G53000500108141","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010814","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050108141",,,"Block Group 1, Census Tract 108.14, Benton County, Washington",442300,"Block Group 1, Census Tract 108.14, Benton County, Washington",33442
"G53000500108151","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010815","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050108151",,,"Block Group 1, Census Tract 108.15, Benton County, Washington",372600,"Block Group 1, Census Tract 108.15, Benton County, Washington",88368
"G53000500108152","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010815","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050108152",,,"Block Group 2, Census Tract 108.15, Benton County, Washington",344600,"Block Group 2, Census Tract 108.15, Benton County, Washington",42248
"G53000500108153","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010815","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050108153",,,"Block Group 3, Census Tract 108.15, Benton County, Washington",371600,"Block Group 3, Census Tract 108.15, Benton County, Washington",62497
