GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ADRWE001,NAME_M,ADRWM001
"G10900","2011-2015","US",,,,,,,,,,,,,,,,"Allentown-Bethlehem-Easton, PA-NJ Metro Area","10900",,,,,,,,,,,,,,,,,"31000US10900",,,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",199800,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1498
"G10940","2011-2015","US",,,,,,,,,,,,,,,,"Alma, MI Micro Area","10940",,,,,,,,,,,,,,,,,"31000US10940",,,"Alma, MI Micro Area",88900,"Alma, MI Micro Area",1677
"G10980","2011-2015","US",,,,,,,,,,,,,,,,"Alpena, MI Micro Area","10980",,,,,,,,,,,,,,,,,"31000US10980",,,"Alpena, MI Micro Area",93300,"Alpena, MI Micro Area",3969
"G11020","2011-2015","US",,,,,,,,,,,,,,,,"Altoona, PA Metro Area","11020",,,,,,,,,,,,,,,,,"31000US11020",,,"Altoona, PA Metro Area",110600,"Altoona, PA Metro Area",2812
"G11060","2011-2015","US",,,,,,,,,,,,,,,,"Altus, OK Micro Area","11060",,,,,,,,,,,,,,,,,"31000US11060",,,"Altus, OK Micro Area",90300,"Altus, OK Micro Area",7446
"G11100","2011-2015","US",,,,,,,,,,,,,,,,"Amarillo, TX Metro Area","11100",,,,,,,,,,,,,,,,,"31000US11100",,,"Amarillo, TX Metro Area",122200,"Amarillo, TX Metro Area",2044
"G11140","2011-2015","US",,,,,,,,,,,,,,,,"Americus, GA Micro Area","11140",,,,,,,,,,,,,,,,,"31000US11140",,,"Americus, GA Micro Area",85800,"Americus, GA Micro Area",4422
"G11180","2011-2015","US",,,,,,,,,,,,,,,,"Ames, IA Metro Area","11180",,,,,,,,,,,,,,,,,"31000US11180",,,"Ames, IA Metro Area",166000,"Ames, IA Metro Area",3066
"G11220","2011-2015","US",,,,,,,,,,,,,,,,"Amsterdam, NY Micro Area","11220",,,,,,,,,,,,,,,,,"31000US11220",,,"Amsterdam, NY Micro Area",101600,"Amsterdam, NY Micro Area",3917
"G11260","2011-2015","US",,,,,,,,,,,,,,,,"Anchorage, AK Metro Area","11260",,,,,,,,,,,,,,,,,"31000US11260",,,"Anchorage, AK Metro Area",272300,"Anchorage, AK Metro Area",2614
"G11380","2011-2015","US",,,,,,,,,,,,,,,,"Andrews, TX Micro Area","11380",,,,,,,,,,,,,,,,,"31000US11380",,,"Andrews, TX Micro Area",111600,"Andrews, TX Micro Area",10205
"G11420","2011-2015","US",,,,,,,,,,,,,,,,"Angola, IN Micro Area","11420",,,,,,,,,,,,,,,,,"31000US11420",,,"Angola, IN Micro Area",128800,"Angola, IN Micro Area",5402
"G11460","2011-2015","US",,,,,,,,,,,,,,,,"Ann Arbor, MI Metro Area","11460",,,,,,,,,,,,,,,,,"31000US11460",,,"Ann Arbor, MI Metro Area",208200,"Ann Arbor, MI Metro Area",2920
"G11500","2011-2015","US",,,,,,,,,,,,,,,,"Anniston-Oxford-Jacksonville, AL Metro Area","11500",,,,,,,,,,,,,,,,,"31000US11500",,,"Anniston-Oxford-Jacksonville, AL Metro Area",105900,"Anniston-Oxford-Jacksonville, AL Metro Area",3221
"G11540","2011-2015","US",,,,,,,,,,,,,,,,"Appleton, WI Metro Area","11540",,,,,,,,,,,,,,,,,"31000US11540",,,"Appleton, WI Metro Area",158100,"Appleton, WI Metro Area",1516
"G11580","2011-2015","US",,,,,,,,,,,,,,,,"Arcadia, FL Micro Area","11580",,,,,,,,,,,,,,,,,"31000US11580",,,"Arcadia, FL Micro Area",80400,"Arcadia, FL Micro Area",3638
"G11620","2011-2015","US",,,,,,,,,,,,,,,,"Ardmore, OK Micro Area","11620",,,,,,,,,,,,,,,,,"31000US11620",,,"Ardmore, OK Micro Area",97000,"Ardmore, OK Micro Area",4238
"G11640","2011-2015","PR",,,,,,,,,,,,,,,,"Arecibo, PR Metro Area","11640",,,,,,,,,,,,,,,,,"31000US11640",,,"Arecibo, PR Metro Area",106800,"Arecibo, PR Metro Area",2549
"G11660","2011-2015","US",,,,,,,,,,,,,,,,"Arkadelphia, AR Micro Area","11660",,,,,,,,,,,,,,,,,"31000US11660",,,"Arkadelphia, AR Micro Area",87200,"Arkadelphia, AR Micro Area",5837
"G11680","2011-2015","US",,,,,,,,,,,,,,,,"Arkansas City-Winfield, KS Micro Area","11680",,,,,,,,,,,,,,,,,"31000US11680",,,"Arkansas City-Winfield, KS Micro Area",83200,"Arkansas City-Winfield, KS Micro Area",2741
"G11700","2011-2015","US",,,,,,,,,,,,,,,,"Asheville, NC Metro Area","11700",,,,,,,,,,,,,,,,,"31000US11700",,,"Asheville, NC Metro Area",182500,"Asheville, NC Metro Area",2642
"G11740","2011-2015","US",,,,,,,,,,,,,,,,"Ashland, OH Micro Area","11740",,,,,,,,,,,,,,,,,"31000US11740",,,"Ashland, OH Micro Area",120800,"Ashland, OH Micro Area",3599
"G11780","2011-2015","US",,,,,,,,,,,,,,,,"Ashtabula, OH Micro Area","11780",,,,,,,,,,,,,,,,,"31000US11780",,,"Ashtabula, OH Micro Area",106000,"Ashtabula, OH Micro Area",3002
"G11820","2011-2015","US",,,,,,,,,,,,,,,,"Astoria, OR Micro Area","11820",,,,,,,,,,,,,,,,,"31000US11820",,,"Astoria, OR Micro Area",246500,"Astoria, OR Micro Area",7295
"G11860","2011-2015","US",,,,,,,,,,,,,,,,"Atchison, KS Micro Area","11860",,,,,,,,,,,,,,,,,"31000US11860",,,"Atchison, KS Micro Area",88100,"Atchison, KS Micro Area",7414
"G11900","2011-2015","US",,,,,,,,,,,,,,,,"Athens, OH Micro Area","11900",,,,,,,,,,,,,,,,,"31000US11900",,,"Athens, OH Micro Area",117700,"Athens, OH Micro Area",4611
"G11940","2011-2015","US",,,,,,,,,,,,,,,,"Athens, TN Micro Area","11940",,,,,,,,,,,,,,,,,"31000US11940",,,"Athens, TN Micro Area",113200,"Athens, TN Micro Area",6326
"G11980","2011-2015","US",,,,,,,,,,,,,,,,"Athens, TX Micro Area","11980",,,,,,,,,,,,,,,,,"31000US11980",,,"Athens, TX Micro Area",91500,"Athens, TX Micro Area",3798
"G12020","2011-2015","US",,,,,,,,,,,,,,,,"Athens-Clarke County, GA Metro Area","12020",,,,,,,,,,,,,,,,,"31000US12020",,,"Athens-Clarke County, GA Metro Area",157800,"Athens-Clarke County, GA Metro Area",3035
"G12060","2011-2015","US",,,,,,,,,,,,,,,,"Atlanta-Sandy Springs-Roswell, GA Metro Area","12060",,,,,,,,,,,,,,,,,"31000US12060",,,"Atlanta-Sandy Springs-Roswell, GA Metro Area",168100,"Atlanta-Sandy Springs-Roswell, GA Metro Area",727
"G12100","2011-2015","US",,,,,,,,,,,,,,,,"Atlantic City-Hammonton, NJ Metro Area","12100",,,,,,,,,,,,,,,,,"31000US12100",,,"Atlantic City-Hammonton, NJ Metro Area",225600,"Atlantic City-Hammonton, NJ Metro Area",3238
"G12140","2011-2015","US",,,,,,,,,,,,,,,,"Auburn, IN Micro Area","12140",,,,,,,,,,,,,,,,,"31000US12140",,,"Auburn, IN Micro Area",110100,"Auburn, IN Micro Area",4270
"G12180","2011-2015","US",,,,,,,,,,,,,,,,"Auburn, NY Micro Area","12180",,,,,,,,,,,,,,,,,"31000US12180",,,"Auburn, NY Micro Area",113600,"Auburn, NY Micro Area",2471
"G12220","2011-2015","US",,,,,,,,,,,,,,,,"Auburn-Opelika, AL Metro Area","12220",,,,,,,,,,,,,,,,,"31000US12220",,,"Auburn-Opelika, AL Metro Area",154300,"Auburn-Opelika, AL Metro Area",3405
"G12260","2011-2015","US",,,,,,,,,,,,,,,,"Augusta-Richmond County, GA-SC Metro Area","12260",,,,,,,,,,,,,,,,,"31000US12260",,,"Augusta-Richmond County, GA-SC Metro Area",128200,"Augusta-Richmond County, GA-SC Metro Area",1778
"G12300","2011-2015","US",,,,,,,,,,,,,,,,"Augusta-Waterville, ME Micro Area","12300",,,,,,,,,,,,,,,,,"31000US12300",,,"Augusta-Waterville, ME Micro Area",150600,"Augusta-Waterville, ME Micro Area",2543
"G12380","2011-2015","US",,,,,,,,,,,,,,,,"Austin, MN Micro Area","12380",,,,,,,,,,,,,,,,,"31000US12380",,,"Austin, MN Micro Area",111700,"Austin, MN Micro Area",3817
"G12420","2011-2015","US",,,,,,,,,,,,,,,,"Austin-Round Rock, TX Metro Area","12420",,,,,,,,,,,,,,,,,"31000US12420",,,"Austin-Round Rock, TX Metro Area",208700,"Austin-Round Rock, TX Metro Area",1369
