GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,JTIE001,NAME_M,JTIM001
"G10620","2006-2010","US",,,,,,,,,,,,,,,,"Albemarle, NC Micro Area","10620",,,,,,,,,,,,,,,,"31000US10620",,,"Albemarle, NC Micro Area",125600,"Albemarle, NC Micro Area",4247
"G10660","2006-2010","US",,,,,,,,,,,,,,,,"Albert Lea, MN Micro Area","10660",,,,,,,,,,,,,,,,"31000US10660",,,"Albert Lea, MN Micro Area",111800,"Albert Lea, MN Micro Area",3537
"G10700","2006-2010","US",,,,,,,,,,,,,,,,"Albertville, AL Micro Area","10700",,,,,,,,,,,,,,,,"31000US10700",,,"Albertville, AL Micro Area",101300,"Albertville, AL Micro Area",3856
"G10740","2006-2010","US",,,,,,,,,,,,,,,,"Albuquerque, NM Metro Area","10740",,,,,,,,,,,,,,,,"31000US10740",,,"Albuquerque, NM Metro Area",180800,"Albuquerque, NM Metro Area",1361
"G10760","2006-2010","US",,,,,,,,,,,,,,,,"Alexander City, AL Micro Area","10760",,,,,,,,,,,,,,,,"31000US10760",,,"Alexander City, AL Micro Area",84300,"Alexander City, AL Micro Area",4229
"G10780","2006-2010","US",,,,,,,,,,,,,,,,"Alexandria, LA Metro Area","10780",,,,,,,,,,,,,,,,"31000US10780",,,"Alexandria, LA Metro Area",106100,"Alexandria, LA Metro Area",2637
"G10820","2006-2010","US",,,,,,,,,,,,,,,,"Alexandria, MN Micro Area","10820",,,,,,,,,,,,,,,,"31000US10820",,,"Alexandria, MN Micro Area",182600,"Alexandria, MN Micro Area",6126
"G10860","2006-2010","US",,,,,,,,,,,,,,,,"Alice, TX Micro Area","10860",,,,,,,,,,,,,,,,"31000US10860",,,"Alice, TX Micro Area",67800,"Alice, TX Micro Area",3101
"G10880","2006-2010","US",,,,,,,,,,,,,,,,"Allegan, MI Micro Area","10880",,,,,,,,,,,,,,,,"31000US10880",,,"Allegan, MI Micro Area",149400,"Allegan, MI Micro Area",2698
"G10900","2006-2010","US",,,,,,,,,,,,,,,,"Allentown-Bethlehem-Easton, PA-NJ Metro Area","10900",,,,,,,,,,,,,,,,"31000US10900",,,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",215200,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1375
"G10940","2006-2010","US",,,,,,,,,,,,,,,,"Alma, MI Micro Area","10940",,,,,,,,,,,,,,,,"31000US10940",,,"Alma, MI Micro Area",93600,"Alma, MI Micro Area",2373
"G10980","2006-2010","US",,,,,,,,,,,,,,,,"Alpena, MI Micro Area","10980",,,,,,,,,,,,,,,,"31000US10980",,,"Alpena, MI Micro Area",104800,"Alpena, MI Micro Area",3521
"G11020","2006-2010","US",,,,,,,,,,,,,,,,"Altoona, PA Metro Area","11020",,,,,,,,,,,,,,,,"31000US11020",,,"Altoona, PA Metro Area",97400,"Altoona, PA Metro Area",1900
"G11060","2006-2010","US",,,,,,,,,,,,,,,,"Altus, OK Micro Area","11060",,,,,,,,,,,,,,,,"31000US11060",,,"Altus, OK Micro Area",85100,"Altus, OK Micro Area",3426
"G11100","2006-2010","US",,,,,,,,,,,,,,,,"Amarillo, TX Metro Area","11100",,,,,,,,,,,,,,,,"31000US11100",,,"Amarillo, TX Metro Area",107800,"Amarillo, TX Metro Area",2201
"G11140","2006-2010","US",,,,,,,,,,,,,,,,"Americus, GA Micro Area","11140",,,,,,,,,,,,,,,,"31000US11140",,,"Americus, GA Micro Area",86900,"Americus, GA Micro Area",3947
"G11180","2006-2010","US",,,,,,,,,,,,,,,,"Ames, IA Metro Area","11180",,,,,,,,,,,,,,,,"31000US11180",,,"Ames, IA Metro Area",156000,"Ames, IA Metro Area",2773
"G11220","2006-2010","US",,,,,,,,,,,,,,,,"Amsterdam, NY Micro Area","11220",,,,,,,,,,,,,,,,"31000US11220",,,"Amsterdam, NY Micro Area",95000,"Amsterdam, NY Micro Area",1853
"G11260","2006-2010","US",,,,,,,,,,,,,,,,"Anchorage, AK Metro Area","11260",,,,,,,,,,,,,,,,"31000US11260",,,"Anchorage, AK Metro Area",250000,"Anchorage, AK Metro Area",2738
"G11300","2006-2010","US",,,,,,,,,,,,,,,,"Anderson, IN Metro Area","11300",,,,,,,,,,,,,,,,"31000US11300",,,"Anderson, IN Metro Area",96300,"Anderson, IN Metro Area",1908
"G11340","2006-2010","US",,,,,,,,,,,,,,,,"Anderson, SC Metro Area","11340",,,,,,,,,,,,,,,,"31000US11340",,,"Anderson, SC Metro Area",117700,"Anderson, SC Metro Area",2901
"G11380","2006-2010","US",,,,,,,,,,,,,,,,"Andrews, TX Micro Area","11380",,,,,,,,,,,,,,,,"31000US11380",,,"Andrews, TX Micro Area",86600,"Andrews, TX Micro Area",14039
"G11420","2006-2010","US",,,,,,,,,,,,,,,,"Angola, IN Micro Area","11420",,,,,,,,,,,,,,,,"31000US11420",,,"Angola, IN Micro Area",121700,"Angola, IN Micro Area",4556
"G11460","2006-2010","US",,,,,,,,,,,,,,,,"Ann Arbor, MI Metro Area","11460",,,,,,,,,,,,,,,,"31000US11460",,,"Ann Arbor, MI Metro Area",216200,"Ann Arbor, MI Metro Area",2321
"G11500","2006-2010","US",,,,,,,,,,,,,,,,"Anniston-Oxford, AL Metro Area","11500",,,,,,,,,,,,,,,,"31000US11500",,,"Anniston-Oxford, AL Metro Area",98200,"Anniston-Oxford, AL Metro Area",2126
"G11540","2006-2010","US",,,,,,,,,,,,,,,,"Appleton, WI Metro Area","11540",,,,,,,,,,,,,,,,"31000US11540",,,"Appleton, WI Metro Area",154600,"Appleton, WI Metro Area",1630
"G11580","2006-2010","US",,,,,,,,,,,,,,,,"Arcadia, FL Micro Area","11580",,,,,,,,,,,,,,,,"31000US11580",,,"Arcadia, FL Micro Area",114100,"Arcadia, FL Micro Area",9583
"G11620","2006-2010","US",,,,,,,,,,,,,,,,"Ardmore, OK Micro Area","11620",,,,,,,,,,,,,,,,"31000US11620",,,"Ardmore, OK Micro Area",85300,"Ardmore, OK Micro Area",4505
"G11660","2006-2010","US",,,,,,,,,,,,,,,,"Arkadelphia, AR Micro Area","11660",,,,,,,,,,,,,,,,"31000US11660",,,"Arkadelphia, AR Micro Area",78900,"Arkadelphia, AR Micro Area",6206
"G11700","2006-2010","US",,,,,,,,,,,,,,,,"Asheville, NC Metro Area","11700",,,,,,,,,,,,,,,,"31000US11700",,,"Asheville, NC Metro Area",181200,"Asheville, NC Metro Area",2837
"G11740","2006-2010","US",,,,,,,,,,,,,,,,"Ashland, OH Micro Area","11740",,,,,,,,,,,,,,,,"31000US11740",,,"Ashland, OH Micro Area",128500,"Ashland, OH Micro Area",4021
"G11780","2006-2010","US",,,,,,,,,,,,,,,,"Ashtabula, OH Micro Area","11780",,,,,,,,,,,,,,,,"31000US11780",,,"Ashtabula, OH Micro Area",118500,"Ashtabula, OH Micro Area",3144
"G11820","2006-2010","US",,,,,,,,,,,,,,,,"Astoria, OR Micro Area","11820",,,,,,,,,,,,,,,,"31000US11820",,,"Astoria, OR Micro Area",253100,"Astoria, OR Micro Area",9347
"G11860","2006-2010","US",,,,,,,,,,,,,,,,"Atchison, KS Micro Area","11860",,,,,,,,,,,,,,,,"31000US11860",,,"Atchison, KS Micro Area",89200,"Atchison, KS Micro Area",7317
"G11900","2006-2010","US",,,,,,,,,,,,,,,,"Athens, OH Micro Area","11900",,,,,,,,,,,,,,,,"31000US11900",,,"Athens, OH Micro Area",114100,"Athens, OH Micro Area",4104
"G11940","2006-2010","US",,,,,,,,,,,,,,,,"Athens, TN Micro Area","11940",,,,,,,,,,,,,,,,"31000US11940",,,"Athens, TN Micro Area",105600,"Athens, TN Micro Area",4881
"G11980","2006-2010","US",,,,,,,,,,,,,,,,"Athens, TX Micro Area","11980",,,,,,,,,,,,,,,,"31000US11980",,,"Athens, TX Micro Area",86400,"Athens, TX Micro Area",3168
"G12020","2006-2010","US",,,,,,,,,,,,,,,,"Athens-Clarke County, GA Metro Area","12020",,,,,,,,,,,,,,,,"31000US12020",,,"Athens-Clarke County, GA Metro Area",165200,"Athens-Clarke County, GA Metro Area",2453
"G12060","2006-2010","US",,,,,,,,,,,,,,,,"Atlanta-Sandy Springs-Marietta, GA Metro Area","12060",,,,,,,,,,,,,,,,"31000US12060",,,"Atlanta-Sandy Springs-Marietta, GA Metro Area",188300,"Atlanta-Sandy Springs-Marietta, GA Metro Area",649
"G12100","2006-2010","US",,,,,,,,,,,,,,,,"Atlantic City-Hammonton, NJ Metro Area","12100",,,,,,,,,,,,,,,,"31000US12100",,,"Atlantic City-Hammonton, NJ Metro Area",264400,"Atlantic City-Hammonton, NJ Metro Area",4550
"G12140","2006-2010","US",,,,,,,,,,,,,,,,"Auburn, IN Micro Area","12140",,,,,,,,,,,,,,,,"31000US12140",,,"Auburn, IN Micro Area",112300,"Auburn, IN Micro Area",3227
"G12180","2006-2010","US",,,,,,,,,,,,,,,,"Auburn, NY Micro Area","12180",,,,,,,,,,,,,,,,"31000US12180",,,"Auburn, NY Micro Area",98400,"Auburn, NY Micro Area",1941
"G12220","2006-2010","US",,,,,,,,,,,,,,,,"Auburn-Opelika, AL Metro Area","12220",,,,,,,,,,,,,,,,"31000US12220",,,"Auburn-Opelika, AL Metro Area",139500,"Auburn-Opelika, AL Metro Area",3997
"G12260","2006-2010","US",,,,,,,,,,,,,,,,"Augusta-Richmond County, GA-SC Metro Area","12260",,,,,,,,,,,,,,,,"31000US12260",,,"Augusta-Richmond County, GA-SC Metro Area",120200,"Augusta-Richmond County, GA-SC Metro Area",1506
"G12300","2006-2010","US",,,,,,,,,,,,,,,,"Augusta-Waterville, ME Micro Area","12300",,,,,,,,,,,,,,,,"31000US12300",,,"Augusta-Waterville, ME Micro Area",148100,"Augusta-Waterville, ME Micro Area",3077
"G12380","2006-2010","US",,,,,,,,,,,,,,,,"Austin, MN Micro Area","12380",,,,,,,,,,,,,,,,"31000US12380",,,"Austin, MN Micro Area",108600,"Austin, MN Micro Area",4231
"G12420","2006-2010","US",,,,,,,,,,,,,,,,"Austin-Round Rock-San Marcos, TX Metro Area","12420",,,,,,,,,,,,,,,,"31000US12420",,,"Austin-Round Rock-San Marcos, TX Metro Area",180100,"Austin-Round Rock-San Marcos, TX Metro Area",1278
"G12460","2006-2010","US",,,,,,,,,,,,,,,,"Bainbridge, GA Micro Area","12460",,,,,,,,,,,,,,,,"31000US12460",,,"Bainbridge, GA Micro Area",98900,"Bainbridge, GA Micro Area",7841
"G12540","2006-2010","US",,,,,,,,,,,,,,,,"Bakersfield-Delano, CA Metro Area","12540",,,,,,,,,,,,,,,,"31000US12540",,,"Bakersfield-Delano, CA Metro Area",217100,"Bakersfield-Delano, CA Metro Area",2247
"G12580","2006-2010","US",,,,,,,,,,,,,,,,"Baltimore-Towson, MD Metro Area","12580",,,,,,,,,,,,,,,,"31000US12580",,,"Baltimore-Towson, MD Metro Area",302500,"Baltimore-Towson, MD Metro Area",1554
"G12620","2006-2010","US",,,,,,,,,,,,,,,,"Bangor, ME Metro Area","12620",,,,,,,,,,,,,,,,"31000US12620",,,"Bangor, ME Metro Area",133600,"Bangor, ME Metro Area",2662
"G12660","2006-2010","US",,,,,,,,,,,,,,,,"Baraboo, WI Micro Area","12660",,,,,,,,,,,,,,,,"31000US12660",,,"Baraboo, WI Micro Area",166400,"Baraboo, WI Micro Area",2742
"G12700","2006-2010","US",,,,,,,,,,,,,,,,"Barnstable Town, MA Metro Area","12700",,,,,,,,,,,,,,,,"31000US12700",,,"Barnstable Town, MA Metro Area",392700,"Barnstable Town, MA Metro Area",3537
"G12740","2006-2010","US",,,,,,,,,,,,,,,,"Barre, VT Micro Area","12740",,,,,,,,,,,,,,,,"31000US12740",,,"Barre, VT Micro Area",197600,"Barre, VT Micro Area",4330
"G12780","2006-2010","US",,,,,,,,,,,,,,,,"Bartlesville, OK Micro Area","12780",,,,,,,,,,,,,,,,"31000US12780",,,"Bartlesville, OK Micro Area",99700,"Bartlesville, OK Micro Area",3297
"G12820","2006-2010","US",,,,,,,,,,,,,,,,"Bastrop, LA Micro Area","12820",,,,,,,,,,,,,,,,"31000US12820",,,"Bastrop, LA Micro Area",71200,"Bastrop, LA Micro Area",3920
"G12860","2006-2010","US",,,,,,,,,,,,,,,,"Batavia, NY Micro Area","12860",,,,,,,,,,,,,,,,"31000US12860",,,"Batavia, NY Micro Area",101400,"Batavia, NY Micro Area",2828
"G12900","2006-2010","US",,,,,,,,,,,,,,,,"Batesville, AR Micro Area","12900",,,,,,,,,,,,,,,,"31000US12900",,,"Batesville, AR Micro Area",82400,"Batesville, AR Micro Area",3772
"G12940","2006-2010","US",,,,,,,,,,,,,,,,"Baton Rouge, LA Metro Area","12940",,,,,,,,,,,,,,,,"31000US12940",,,"Baton Rouge, LA Metro Area",148700,"Baton Rouge, LA Metro Area",1420
"G12980","2006-2010","US",,,,,,,,,,,,,,,,"Battle Creek, MI Metro Area","12980",,,,,,,,,,,,,,,,"31000US12980",,,"Battle Creek, MI Metro Area",110300,"Battle Creek, MI Metro Area",1712
"G13020","2006-2010","US",,,,,,,,,,,,,,,,"Bay City, MI Metro Area","13020",,,,,,,,,,,,,,,,"31000US13020",,,"Bay City, MI Metro Area",107800,"Bay City, MI Metro Area",2263
"G13060","2006-2010","US",,,,,,,,,,,,,,,,"Bay City, TX Micro Area","13060",,,,,,,,,,,,,,,,"31000US13060",,,"Bay City, TX Micro Area",83400,"Bay City, TX Micro Area",4382
"G13100","2006-2010","US",,,,,,,,,,,,,,,,"Beatrice, NE Micro Area","13100",,,,,,,,,,,,,,,,"31000US13100",,,"Beatrice, NE Micro Area",97800,"Beatrice, NE Micro Area",4440
"G13140","2006-2010","US",,,,,,,,,,,,,,,,"Beaumont-Port Arthur, TX Metro Area","13140",,,,,,,,,,,,,,,,"31000US13140",,,"Beaumont-Port Arthur, TX Metro Area",87200,"Beaumont-Port Arthur, TX Metro Area",1071
"G13180","2006-2010","US",,,,,,,,,,,,,,,,"Beaver Dam, WI Micro Area","13180",,,,,,,,,,,,,,,,"31000US13180",,,"Beaver Dam, WI Micro Area",155900,"Beaver Dam, WI Micro Area",2301
"G13220","2006-2010","US",,,,,,,,,,,,,,,,"Beckley, WV Micro Area","13220",,,,,,,,,,,,,,,,"31000US13220",,,"Beckley, WV Micro Area",88000,"Beckley, WV Micro Area",2894
"G13260","2006-2010","US",,,,,,,,,,,,,,,,"Bedford, IN Micro Area","13260",,,,,,,,,,,,,,,,"31000US13260",,,"Bedford, IN Micro Area",97400,"Bedford, IN Micro Area",3279
"G13300","2006-2010","US",,,,,,,,,,,,,,,,"Beeville, TX Micro Area","13300",,,,,,,,,,,,,,,,"31000US13300",,,"Beeville, TX Micro Area",73200,"Beeville, TX Micro Area",5203
"G13340","2006-2010","US",,,,,,,,,,,,,,,,"Bellefontaine, OH Micro Area","13340",,,,,,,,,,,,,,,,"31000US13340",,,"Bellefontaine, OH Micro Area",124500,"Bellefontaine, OH Micro Area",5268
"G13380","2006-2010","US",,,,,,,,,,,,,,,,"Bellingham, WA Metro Area","13380",,,,,,,,,,,,,,,,"31000US13380",,,"Bellingham, WA Metro Area",293500,"Bellingham, WA Metro Area",5823
"G13420","2006-2010","US",,,,,,,,,,,,,,,,"Bemidji, MN Micro Area","13420",,,,,,,,,,,,,,,,"31000US13420",,,"Bemidji, MN Micro Area",143800,"Bemidji, MN Micro Area",4506
"G13460","2006-2010","US",,,,,,,,,,,,,,,,"Bend, OR Metro Area","13460",,,,,,,,,,,,,,,,"31000US13460",,,"Bend, OR Metro Area",314400,"Bend, OR Metro Area",7686
"G13500","2006-2010","US",,,,,,,,,,,,,,,,"Bennettsville, SC Micro Area","13500",,,,,,,,,,,,,,,,"31000US13500",,,"Bennettsville, SC Micro Area",60300,"Bennettsville, SC Micro Area",5004
"G13540","2006-2010","US",,,,,,,,,,,,,,,,"Bennington, VT Micro Area","13540",,,,,,,,,,,,,,,,"31000US13540",,,"Bennington, VT Micro Area",198800,"Bennington, VT Micro Area",7502
"G13620","2006-2010","US",,,,,,,,,,,,,,,,"Berlin, NH-VT Micro Area","13620",,,,,,,,,,,,,,,,"31000US13620",,,"Berlin, NH-VT Micro Area",130100,"Berlin, NH-VT Micro Area",5109
"G13660","2006-2010","US",,,,,,,,,,,,,,,,"Big Rapids, MI Micro Area","13660",,,,,,,,,,,,,,,,"31000US13660",,,"Big Rapids, MI Micro Area",119200,"Big Rapids, MI Micro Area",4126
"G13700","2006-2010","US",,,,,,,,,,,,,,,,"Big Spring, TX Micro Area","13700",,,,,,,,,,,,,,,,"31000US13700",,,"Big Spring, TX Micro Area",57200,"Big Spring, TX Micro Area",3518
"G13740","2006-2010","US",,,,,,,,,,,,,,,,"Billings, MT Metro Area","13740",,,,,,,,,,,,,,,,"31000US13740",,,"Billings, MT Metro Area",169800,"Billings, MT Metro Area",1732
"G13780","2006-2010","US",,,,,,,,,,,,,,,,"Binghamton, NY Metro Area","13780",,,,,,,,,,,,,,,,"31000US13780",,,"Binghamton, NY Metro Area",99200,"Binghamton, NY Metro Area",1136
"G13820","2006-2010","US",,,,,,,,,,,,,,,,"Birmingham-Hoover, AL Metro Area","13820",,,,,,,,,,,,,,,,"31000US13820",,,"Birmingham-Hoover, AL Metro Area",141400,"Birmingham-Hoover, AL Metro Area",1051
"G13860","2006-2010","US",,,,,,,,,,,,,,,,"Bishop, CA Micro Area","13860",,,,,,,,,,,,,,,,"31000US13860",,,"Bishop, CA Micro Area",290000,"Bishop, CA Micro Area",23151
"G13900","2006-2010","US",,,,,,,,,,,,,,,,"Bismarck, ND Metro Area","13900",,,,,,,,,,,,,,,,"31000US13900",,,"Bismarck, ND Metro Area",143500,"Bismarck, ND Metro Area",2552
"G13940","2006-2010","US",,,,,,,,,,,,,,,,"Blackfoot, ID Micro Area","13940",,,,,,,,,,,,,,,,"31000US13940",,,"Blackfoot, ID Micro Area",125300,"Blackfoot, ID Micro Area",5528
"G13980","2006-2010","US",,,,,,,,,,,,,,,,"Blacksburg-Christiansburg-Radford, VA Metro Area","13980",,,,,,,,,,,,,,,,"31000US13980",,,"Blacksburg-Christiansburg-Radford, VA Metro Area",154200,"Blacksburg-Christiansburg-Radford, VA Metro Area",2805
"G14020","2006-2010","US",,,,,,,,,,,,,,,,"Bloomington, IN Metro Area","14020",,,,,,,,,,,,,,,,"31000US14020",,,"Bloomington, IN Metro Area",124100,"Bloomington, IN Metro Area",2563
"G14060","2006-2010","US",,,,,,,,,,,,,,,,"Bloomington-Normal, IL Metro Area","14060",,,,,,,,,,,,,,,,"31000US14060",,,"Bloomington-Normal, IL Metro Area",151700,"Bloomington-Normal, IL Metro Area",1853
"G14100","2006-2010","US",,,,,,,,,,,,,,,,"Bloomsburg-Berwick, PA Micro Area","14100",,,,,,,,,,,,,,,,"31000US14100",,,"Bloomsburg-Berwick, PA Micro Area",123700,"Bloomsburg-Berwick, PA Micro Area",2474
"G14140","2006-2010","US",,,,,,,,,,,,,,,,"Bluefield, WV-VA Micro Area","14140",,,,,,,,,,,,,,,,"31000US14140",,,"Bluefield, WV-VA Micro Area",75900,"Bluefield, WV-VA Micro Area",2600
"G14180","2006-2010","US",,,,,,,,,,,,,,,,"Blytheville, AR Micro Area","14180",,,,,,,,,,,,,,,,"31000US14180",,,"Blytheville, AR Micro Area",68700,"Blytheville, AR Micro Area",2434
"G14220","2006-2010","US",,,,,,,,,,,,,,,,"Bogalusa, LA Micro Area","14220",,,,,,,,,,,,,,,,"31000US14220",,,"Bogalusa, LA Micro Area",84400,"Bogalusa, LA Micro Area",4957
"G14260","2006-2010","US",,,,,,,,,,,,,,,,"Boise City-Nampa, ID Metro Area","14260",,,,,,,,,,,,,,,,"31000US14260",,,"Boise City-Nampa, ID Metro Area",190200,"Boise City-Nampa, ID Metro Area",1643
"G14300","2006-2010","US",,,,,,,,,,,,,,,,"Bonham, TX Micro Area","14300",,,,,,,,,,,,,,,,"31000US14300",,,"Bonham, TX Micro Area",81500,"Bonham, TX Micro Area",4485
"G14340","2006-2010","US",,,,,,,,,,,,,,,,"Boone, IA Micro Area","14340",,,,,,,,,,,,,,,,"31000US14340",,,"Boone, IA Micro Area",115800,"Boone, IA Micro Area",4351
"G14380","2006-2010","US",,,,,,,,,,,,,,,,"Boone, NC Micro Area","14380",,,,,,,,,,,,,,,,"31000US14380",,,"Boone, NC Micro Area",215800,"Boone, NC Micro Area",12692
"G14420","2006-2010","US",,,,,,,,,,,,,,,,"Borger, TX Micro Area","14420",,,,,,,,,,,,,,,,"31000US14420",,,"Borger, TX Micro Area",56400,"Borger, TX Micro Area",4658
"G14460","2006-2010","US",,,,,,,,,,,,,,,,"Boston-Cambridge-Quincy, MA-NH Metro Area","14460",,,,,,,,,,,,,,,,"31000US14460",,,"Boston-Cambridge-Quincy, MA-NH Metro Area",382400,"Boston-Cambridge-Quincy, MA-NH Metro Area",871
"G14500","2006-2010","US",,,,,,,,,,,,,,,,"Boulder, CO Metro Area","14500",,,,,,,,,,,,,,,,"31000US14500",,,"Boulder, CO Metro Area",353300,"Boulder, CO Metro Area",3514
"G14540","2006-2010","US",,,,,,,,,,,,,,,,"Bowling Green, KY Metro Area","14540",,,,,,,,,,,,,,,,"31000US14540",,,"Bowling Green, KY Metro Area",129200,"Bowling Green, KY Metro Area",2525
"G14580","2006-2010","US",,,,,,,,,,,,,,,,"Bozeman, MT Micro Area","14580",,,,,,,,,,,,,,,,"31000US14580",,,"Bozeman, MT Micro Area",277300,"Bozeman, MT Micro Area",6640
"G14620","2006-2010","US",,,,,,,,,,,,,,,,"Bradford, PA Micro Area","14620",,,,,,,,,,,,,,,,"31000US14620",,,"Bradford, PA Micro Area",72300,"Bradford, PA Micro Area",2392
"G14660","2006-2010","US",,,,,,,,,,,,,,,,"Brainerd, MN Micro Area","14660",,,,,,,,,,,,,,,,"31000US14660",,,"Brainerd, MN Micro Area",186500,"Brainerd, MN Micro Area",3504
"G14700","2006-2010","US",,,,,,,,,,,,,,,,"Branson, MO Micro Area","14700",,,,,,,,,,,,,,,,"31000US14700",,,"Branson, MO Micro Area",134400,"Branson, MO Micro Area",5419
"G14740","2006-2010","US",,,,,,,,,,,,,,,,"Bremerton-Silverdale, WA Metro Area","14740",,,,,,,,,,,,,,,,"31000US14740",,,"Bremerton-Silverdale, WA Metro Area",284700,"Bremerton-Silverdale, WA Metro Area",3849
"G14780","2006-2010","US",,,,,,,,,,,,,,,,"Brenham, TX Micro Area","14780",,,,,,,,,,,,,,,,"31000US14780",,,"Brenham, TX Micro Area",135500,"Brenham, TX Micro Area",9683
"G14820","2006-2010","US",,,,,,,,,,,,,,,,"Brevard, NC Micro Area","14820",,,,,,,,,,,,,,,,"31000US14820",,,"Brevard, NC Micro Area",169600,"Brevard, NC Micro Area",6660
"G14860","2006-2010","US",,,,,,,,,,,,,,,,"Bridgeport-Stamford-Norwalk, CT Metro Area","14860",,,,,,,,,,,,,,,,"31000US14860",,,"Bridgeport-Stamford-Norwalk, CT Metro Area",477700,"Bridgeport-Stamford-Norwalk, CT Metro Area",4192
"G14940","2006-2010","US",,,,,,,,,,,,,,,,"Brigham City, UT Micro Area","14940",,,,,,,,,,,,,,,,"31000US14940",,,"Brigham City, UT Micro Area",162000,"Brigham City, UT Micro Area",3208
"G15020","2006-2010","US",,,,,,,,,,,,,,,,"Brookhaven, MS Micro Area","15020",,,,,,,,,,,,,,,,"31000US15020",,,"Brookhaven, MS Micro Area",80000,"Brookhaven, MS Micro Area",4799
"G15060","2006-2010","US",,,,,,,,,,,,,,,,"Brookings, OR Micro Area","15060",,,,,,,,,,,,,,,,"31000US15060",,,"Brookings, OR Micro Area",266800,"Brookings, OR Micro Area",15809
"G15100","2006-2010","US",,,,,,,,,,,,,,,,"Brookings, SD Micro Area","15100",,,,,,,,,,,,,,,,"31000US15100",,,"Brookings, SD Micro Area",138300,"Brookings, SD Micro Area",5542
"G15140","2006-2010","US",,,,,,,,,,,,,,,,"Brownsville, TN Micro Area","15140",,,,,,,,,,,,,,,,"31000US15140",,,"Brownsville, TN Micro Area",87100,"Brownsville, TN Micro Area",3249
"G15180","2006-2010","US",,,,,,,,,,,,,,,,"Brownsville-Harlingen, TX Metro Area","15180",,,,,,,,,,,,,,,,"31000US15180",,,"Brownsville-Harlingen, TX Metro Area",74000,"Brownsville-Harlingen, TX Metro Area",1344
"G15220","2006-2010","US",,,,,,,,,,,,,,,,"Brownwood, TX Micro Area","15220",,,,,,,,,,,,,,,,"31000US15220",,,"Brownwood, TX Micro Area",76900,"Brownwood, TX Micro Area",5017
"G15260","2006-2010","US",,,,,,,,,,,,,,,,"Brunswick, GA Metro Area","15260",,,,,,,,,,,,,,,,"31000US15260",,,"Brunswick, GA Metro Area",146100,"Brunswick, GA Metro Area",7076
"G15340","2006-2010","US",,,,,,,,,,,,,,,,"Bucyrus, OH Micro Area","15340",,,,,,,,,,,,,,,,"31000US15340",,,"Bucyrus, OH Micro Area",93800,"Bucyrus, OH Micro Area",2346
"G15380","2006-2010","US",,,,,,,,,,,,,,,,"Buffalo-Niagara Falls, NY Metro Area","15380",,,,,,,,,,,,,,,,"31000US15380",,,"Buffalo-Niagara Falls, NY Metro Area",113900,"Buffalo-Niagara Falls, NY Metro Area",742
"G15420","2006-2010","US",,,,,,,,,,,,,,,,"Burley, ID Micro Area","15420",,,,,,,,,,,,,,,,"31000US15420",,,"Burley, ID Micro Area",106100,"Burley, ID Micro Area",3749
"G15460","2006-2010","US",,,,,,,,,,,,,,,,"Burlington, IA-IL Micro Area","15460",,,,,,,,,,,,,,,,"31000US15460",,,"Burlington, IA-IL Micro Area",88000,"Burlington, IA-IL Micro Area",2002
"G15500","2006-2010","US",,,,,,,,,,,,,,,,"Burlington, NC Metro Area","15500",,,,,,,,,,,,,,,,"31000US15500",,,"Burlington, NC Metro Area",137100,"Burlington, NC Metro Area",2685
"G15540","2006-2010","US",,,,,,,,,,,,,,,,"Burlington-South Burlington, VT Metro Area","15540",,,,,,,,,,,,,,,,"31000US15540",,,"Burlington-South Burlington, VT Metro Area",240200,"Burlington-South Burlington, VT Metro Area",1977
"G15580","2006-2010","US",,,,,,,,,,,,,,,,"Butte-Silver Bow, MT Micro Area","15580",,,,,,,,,,,,,,,,"31000US15580",,,"Butte-Silver Bow, MT Micro Area",117200,"Butte-Silver Bow, MT Micro Area",5819
"G15620","2006-2010","US",,,,,,,,,,,,,,,,"Cadillac, MI Micro Area","15620",,,,,,,,,,,,,,,,"31000US15620",,,"Cadillac, MI Micro Area",111800,"Cadillac, MI Micro Area",2679
"G15660","2006-2010","US",,,,,,,,,,,,,,,,"Calhoun, GA Micro Area","15660",,,,,,,,,,,,,,,,"31000US15660",,,"Calhoun, GA Micro Area",123200,"Calhoun, GA Micro Area",3791
"G15700","2006-2010","US",,,,,,,,,,,,,,,,"Cambridge, MD Micro Area","15700",,,,,,,,,,,,,,,,"31000US15700",,,"Cambridge, MD Micro Area",205000,"Cambridge, MD Micro Area",8503
"G15740","2006-2010","US",,,,,,,,,,,,,,,,"Cambridge, OH Micro Area","15740",,,,,,,,,,,,,,,,"31000US15740",,,"Cambridge, OH Micro Area",90800,"Cambridge, OH Micro Area",3488
