GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ADRWE001,NAME_M,ADRWM001
"G53000109503005","2011-2015","WA",,,"Washington","53","Adams County","001",,,"950300","5",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019503005",,,"Block Group 5, Census Tract 9503, Adams County, Washington",,"Block Group 5, Census Tract 9503, Adams County, Washington",
"G53000109504001","2011-2015","WA",,,"Washington","53","Adams County","001",,,"950400","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019504001",,,"Block Group 1, Census Tract 9504, Adams County, Washington",137500,"Block Group 1, Census Tract 9504, Adams County, Washington",75740
"G53000109504002","2011-2015","WA",,,"Washington","53","Adams County","001",,,"950400","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019504002",,,"Block Group 2, Census Tract 9504, Adams County, Washington",137400,"Block Group 2, Census Tract 9504, Adams County, Washington",7874
"G53000109505001","2011-2015","WA",,,"Washington","53","Adams County","001",,,"950500","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019505001",,,"Block Group 1, Census Tract 9505, Adams County, Washington",150300,"Block Group 1, Census Tract 9505, Adams County, Washington",12141
"G53000109505002","2011-2015","WA",,,"Washington","53","Adams County","001",,,"950500","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019505002",,,"Block Group 2, Census Tract 9505, Adams County, Washington",137900,"Block Group 2, Census Tract 9505, Adams County, Washington",10035
"G53000309601001","2011-2015","WA",,,"Washington","53","Asotin County","003",,,"960100","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039601001",,,"Block Group 1, Census Tract 9601, Asotin County, Washington",240300,"Block Group 1, Census Tract 9601, Asotin County, Washington",39037
"G53000309601002","2011-2015","WA",,,"Washington","53","Asotin County","003",,,"960100","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039601002",,,"Block Group 2, Census Tract 9601, Asotin County, Washington",165900,"Block Group 2, Census Tract 9601, Asotin County, Washington",138552
"G53000309601003","2011-2015","WA",,,"Washington","53","Asotin County","003",,,"960100","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039601003",,,"Block Group 3, Census Tract 9601, Asotin County, Washington",255000,"Block Group 3, Census Tract 9601, Asotin County, Washington",24382
"G53000309602001","2011-2015","WA",,,"Washington","53","Asotin County","003",,,"960200","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039602001",,,"Block Group 1, Census Tract 9602, Asotin County, Washington",212600,"Block Group 1, Census Tract 9602, Asotin County, Washington",19655
"G53000309602002","2011-2015","WA",,,"Washington","53","Asotin County","003",,,"960200","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039602002",,,"Block Group 2, Census Tract 9602, Asotin County, Washington",,"Block Group 2, Census Tract 9602, Asotin County, Washington",
"G53000309602003","2011-2015","WA",,,"Washington","53","Asotin County","003",,,"960200","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039602003",,,"Block Group 3, Census Tract 9602, Asotin County, Washington",288600,"Block Group 3, Census Tract 9602, Asotin County, Washington",210105
"G53000309602004","2011-2015","WA",,,"Washington","53","Asotin County","003",,,"960200","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039602004",,,"Block Group 4, Census Tract 9602, Asotin County, Washington",254300,"Block Group 4, Census Tract 9602, Asotin County, Washington",58280
"G53000309603001","2011-2015","WA",,,"Washington","53","Asotin County","003",,,"960300","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039603001",,,"Block Group 1, Census Tract 9603, Asotin County, Washington",,"Block Group 1, Census Tract 9603, Asotin County, Washington",
"G53000309603002","2011-2015","WA",,,"Washington","53","Asotin County","003",,,"960300","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039603002",,,"Block Group 2, Census Tract 9603, Asotin County, Washington",98500,"Block Group 2, Census Tract 9603, Asotin County, Washington",25772
"G53000309603003","2011-2015","WA",,,"Washington","53","Asotin County","003",,,"960300","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039603003",,,"Block Group 3, Census Tract 9603, Asotin County, Washington",118400,"Block Group 3, Census Tract 9603, Asotin County, Washington",20194
"G53000309603004","2011-2015","WA",,,"Washington","53","Asotin County","003",,,"960300","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039603004",,,"Block Group 4, Census Tract 9603, Asotin County, Washington",153400,"Block Group 4, Census Tract 9603, Asotin County, Washington",66116
"G53000309604001","2011-2015","WA",,,"Washington","53","Asotin County","003",,,"960400","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039604001",,,"Block Group 1, Census Tract 9604, Asotin County, Washington",130900,"Block Group 1, Census Tract 9604, Asotin County, Washington",36462
"G53000309604002","2011-2015","WA",,,"Washington","53","Asotin County","003",,,"960400","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039604002",,,"Block Group 2, Census Tract 9604, Asotin County, Washington",119500,"Block Group 2, Census Tract 9604, Asotin County, Washington",23833
"G53000309605001","2011-2015","WA",,,"Washington","53","Asotin County","003",,,"960500","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039605001",,,"Block Group 1, Census Tract 9605, Asotin County, Washington",150300,"Block Group 1, Census Tract 9605, Asotin County, Washington",42613
"G53000309605002","2011-2015","WA",,,"Washington","53","Asotin County","003",,,"960500","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039605002",,,"Block Group 2, Census Tract 9605, Asotin County, Washington",138300,"Block Group 2, Census Tract 9605, Asotin County, Washington",12537
