"","GEOID1","GEOID2","FULL1_NAME","FULL2_NAME","variable","estimate","moe","centroid1","centroid2","GISJOIN.x","YEAR.x","CBSAA","median_cost.x","GISJOIN.y","YEAR.y","NAME_E.y","median_cost.y","housing_chg","GISJOIN","chg_white_2010_2020","chg_black_2010_2020","chg_aiak_2010_2020","chg_asian_2010_2020","chg_nhpi_2010_2020","chg_other_2010_2020","chg_twoplus_2010_2020"
"15","42660","12100","Seattle-Tacoma-Bellevue, WA Metro Area","Atlantic City-Hammonton, NJ Metro Area","MOVEDOUT",0,NA,c(-121.881387433741, 47.5574033466574),c(-74.6337332021301, 39.4688338138396),"G12100","2011-2015",12100,225600,"G12100","2016-2020","Atlantic City-Hammonton, NJ Metro Area",216600,-9000,"G12100",-22769.55,-2618.99,203,1188.98,250,6973.99,16757.97
"16","42660","12220","Seattle-Tacoma-Bellevue, WA Metro Area","Auburn-Opelika, AL Metro Area","MOVEDOUT",0,NA,c(-121.881387433741, 47.5574033466574),c(-85.3555627143245, 32.6011364705819),"G12220","2011-2015",12220,154300,"G12220","2016-2020","Auburn-Opelika, AL Metro Area",173700,19400,"G12220",11645,7669,275,4914,15,2519,6957
"17","42660","12260","Seattle-Tacoma-Bellevue, WA Metro Area","Augusta-Richmond County, GA-SC Metro Area","MOVEDOUT",33,29,c(-121.881387433741, 47.5574033466574),c(-81.9465365274209, 33.4351990544738),"G12260","2011-2015",12260,128200,"G12260","2016-2020","Augusta-Richmond County, GA-SC Metro Area",153300,25100,"G12260",-3238.78000000003,13754.64,173,3611,183,6095.76,25870.04
"18","42660","12620","Seattle-Tacoma-Bellevue, WA Metro Area","Bangor, ME Metro Area","MOVEDOUT",66,62,c(-121.881387433741, 47.5574033466574),c(-68.6494281284415, 45.4005123272593),"G12620","2011-2015",12620,137400,"G12620","2016-2020","Bangor, ME Metro Area",148300,10900,"G12620",-7491,348,-378,443,2,563,4789
"19","42660","12700","Seattle-Tacoma-Bellevue, WA Metro Area","Barnstable Town, MA Metro Area","MOVEDOUT",14,15,c(-121.881387433741, 47.5574033466574),c(-70.2381365830172, 41.7734491612184),"G12700","2011-2015",12700,363500,"G12700","2016-2020","Barnstable Town, MA Metro Area",414000,50500,"G12700",-3735.07999999999,2541,-100,936,-4,2289,11181
"20","42660","12940","Seattle-Tacoma-Bellevue, WA Metro Area","Baton Rouge, LA Metro Area","MOVEDOUT",69,80,c(-121.881387433741, 47.5574033466574),c(-91.1309691903327, 30.5703137889327),"G12940","2011-2015",12940,161800,"G12940","2016-2020","Baton Rouge, LA Metro Area",190000,28200,"G12940",-17077.3,10552.25,474,3492,-27,15556.98,34073.97
"21","42660","13140","Seattle-Tacoma-Bellevue, WA Metro Area","Beaumont-Port Arthur, TX Metro Area","MOVEDOUT",28,37,c(-121.881387433741, 47.5574033466574),c(-94.2013601154407, 30.0764714198905),"G13140","2011-2015",13140,97700,"G13140","2016-2020","Beaumont-Port Arthur, TX Metro Area",120900,23200,"G13140",-27705,525,481,1894,34,9406,24185
"22","42660","13380","Seattle-Tacoma-Bellevue, WA Metro Area","Bellingham, WA Metro Area","MOVEDOUT",3993,616,c(-121.881387433741, 47.5574033466574),c(-121.872829974509, 48.8297449981796),"G13380","2011-2015",13380,274700,"G13380","2016-2020","Bellingham, WA Metro Area",369000,94300,"G13380",4129.98000000001,418,594,3037,233,3115,14180
"23","42660","13740","Seattle-Tacoma-Bellevue, WA Metro Area","Billings, MT Metro Area","MOVEDOUT",160,93,c(-121.881387433741, 47.5574033466574),c(-108.602059278083, 45.6287004043677),"G13740","2011-2015",13740,193500,"G13740","2016-2020","Billings, MT Metro Area",240700,47200,"G13740",5664.78,363,1372,380,115,1111,8149.38
"24","42660","13820","Seattle-Tacoma-Bellevue, WA Metro Area","Birmingham-Hoover, AL Metro Area","MOVEDOUT",54,76,c(-121.881387433741, 47.5574033466574),c(-86.8138680220955, 33.4638408721977),"G13820","2011-2015",13820,146200,"G13820","2016-2020","Birmingham-Hoover, AL Metro Area",171400,25200,"G13820",-22877,13798,1478,5746,20,11390,43029
